18:46:02.662 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
18:46:02.662 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
18:46:18.551 > DEBUG (obtain_Vbd) -> Ejecutandose
18:46:18.554 > DEBUG (obtain_Vbd) -> logaritmo calculado
18:46:18.555 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.429912
18:46:18.555 > DEBUG (polarization_settling) → Channel 1
18:46:37.048 > DEBUG (obtain_Vbd) -> Ejecutandose
18:46:37.052 > DEBUG (obtain_Vbd) -> logaritmo calculado
18:46:37.052 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.429652
18:46:37.054 > DEBUG (polarization_settling) → Channel 2
18:47:09.098 > -------------------- DATOS OBTENIDOS --------------------
18:47:09.098 > ------------------ -------------------
18:47:09.098 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
18:47:09.098 > 1,2.2978020,0.6303803,0.00,23.2422695,0.0000244383
18:47:09.100 > 2,2.2992842,0.6304538,0.00,23.2596703,0.0000245117
18:47:09.104 > 3,2.2999406,0.6306081,0.00,23.2672482,0.0000246661
18:47:09.105 > 4,2.3007767,0.6306605,0.00,23.2770538,0.0000247185
18:47:09.108 > 5,2.3013165,0.6310034,0.00,23.2830601,0.0000250613
18:47:09.111 > 6,2.3019452,0.6310399,0.00,23.2904358,0.0000250978
18:47:09.113 > 7,2.3026814,0.6312367,0.00,23.2989101,0.0000252947
18:47:09.116 > 8,2.3033564,0.6310955,0.00,23.3070183,0.0000251535
18:47:09.119 > 9,2.3039551,0.6313888,0.00,23.3137722,0.0000254467
18:47:09.121 > 10,2.3044243,0.6315516,0.00,23.3191338,0.0000256095
18:47:09.124 > 11,2.3052516,0.6316390,0.00,23.3287983,0.0000256969
18:47:09.127 > 12,2.3058233,0.6316605,0.00,23.3355179,0.0000257185
18:47:09.129 > 13,2.3063092,0.6318799,0.00,23.3410168,0.0000259378
18:47:09.132 > 14,2.3070300,0.6320618,0.00,23.3493252,0.0000261198
18:47:09.135 > 15,2.3076684,0.6321400,0.00,23.3567734,0.0000261979
18:47:09.137 > 16,2.3083823,0.6322560,0.00,23.3650684,0.0000263139
18:47:09.140 > 17,2.3088088,0.6324421,0.00,23.3699036,0.0000265000
18:47:09.143 > 18,2.3095009,0.6326287,0.00,23.3778706,0.0000266867
18:47:09.145 > 19,2.3101759,0.6327195,0.00,23.3857346,0.0000267774
18:47:09.148 > 20,2.3108084,0.6328322,0.00,23.3930759,0.0000268902
18:47:09.150 > 21,2.3113770,0.6329449,0.00,23.3996620,0.0000270029
18:47:09.153 > 22,2.3119445,0.6331105,0.00,23.4061813,0.0000271685
18:47:09.156 > 23,2.3126116,0.6331938,0.00,23.4139595,0.0000272517
18:47:09.158 > 24,2.3132186,0.6333780,0.00,23.4209232,0.0000274360
18:47:09.161 > 25,2.3137822,0.6335740,0.00,23.4273663,0.0000276319
18:47:09.163 > 26,2.3145213,0.6337499,0.00,23.4358978,0.0000278078
18:47:09.166 > 27,2.3151331,0.6338893,0.00,23.4429646,0.0000279472
18:47:09.168 > 28,2.3157420,0.6339332,0.00,23.4500999,0.0000279912
18:47:09.171 > 29,2.3161793,0.6342181,0.00,23.4549561,0.0000282760
18:47:09.174 > 30,2.3168290,0.6343490,0.00,23.4624805,0.0000284070
18:47:09.176 > 31,2.3175714,0.6345156,0.00,23.4710617,0.0000285735
18:47:09.179 > 32,2.3180568,0.6344978,0.00,23.4768047,0.0000285558
18:47:09.182 > 33,2.3186293,0.6350250,0.00,23.4830017,0.0000290829
18:47:09.184 > 34,2.3193650,0.6350207,0.00,23.4916821,0.0000290787
18:47:09.187 > 35,2.3199708,0.6353121,0.00,23.4985218,0.0000293701
18:47:09.190 > 36,2.3205414,0.6352289,0.00,23.5053368,0.0000292868
18:47:09.192 > 37,2.3211102,0.6355792,0.00,23.5116787,0.0000296372
18:47:09.195 > 38,2.3218474,0.6358458,0.00,23.5200901,0.0000299038
18:47:09.197 > 39,2.3224719,0.6359127,0.00,23.5273838,0.0000299706
18:47:09.200 > 40,2.3230152,0.6358706,0.00,23.5338364,0.0000299286
18:47:09.203 > 41,2.3235407,0.6363192,0.00,23.5395603,0.0000303771
18:47:09.205 > 42,2.3243077,0.6364132,0.00,23.5485096,0.0000304711
18:47:09.208 > 43,2.3249433,0.6365722,0.00,23.5558376,0.0000306302
18:47:09.210 > 44,2.3253679,0.6366658,0.00,23.5607471,0.0000307237
18:47:09.213 > 45,2.3259957,0.6369249,0.00,23.5678768,0.0000309828
18:47:09.216 > 46,2.3267236,0.6371957,0.00,23.5761776,0.0000312536
18:47:09.218 > 47,2.3273895,0.6372373,0.00,23.5839863,0.0000312952
18:47:09.221 > 48,2.3279996,0.6374866,0.00,23.5909195,0.0000315446
18:47:09.223 > 49,2.3284359,0.6377827,0.00,23.5957546,0.0000318406
18:47:09.226 > 50,2.3292174,0.6379745,0.00,23.6047688,0.0000320324
18:47:09.229 > 51,2.3298204,0.6380854,0.00,23.6117630,0.0000321433
