18:55:51.129 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
18:55:51.129 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
18:56:07.010 > DEBUG (obtain_Vbd) -> Ejecutandose
18:56:07.014 > DEBUG (obtain_Vbd) -> logaritmo calculado
18:56:07.014 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.446861
18:56:07.015 > DEBUG (polarization_settling) → Channel 1
18:56:25.495 > DEBUG (obtain_Vbd) -> Ejecutandose
18:56:25.499 > DEBUG (obtain_Vbd) -> logaritmo calculado
18:56:25.499 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.459431
18:56:25.501 > DEBUG (polarization_settling) → Channel 2
18:56:58.072 > -------------------- DATOS OBTENIDOS --------------------
18:56:58.072 > ------------------ -------------------
18:56:58.073 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
18:56:58.073 > 1,2.3123977,0.6317101,0.00,23.4132671,0.0000255098
18:56:58.076 > 2,2.3137121,0.6318859,0.00,23.4285831,0.0000256857
18:56:58.078 > 3,2.3144987,0.6318794,0.00,23.4378662,0.0000256792
18:56:58.081 > 4,2.3153188,0.6321563,0.00,23.4472446,0.0000259560
18:56:58.083 > 5,2.3159230,0.6321287,0.00,23.4543991,0.0000259284
18:56:58.086 > 6,2.3165166,0.6325095,0.00,23.4610004,0.0000263092
18:56:58.088 > 7,2.3171051,0.6325347,0.00,23.4679127,0.0000263345
18:56:58.091 > 8,2.3179820,0.6327990,0.00,23.4779758,0.0000265987
18:56:58.093 > 9,2.3184254,0.6327766,0.00,23.4832306,0.0000265763
18:56:58.096 > 10,2.3191299,0.6329637,0.00,23.4913425,0.0000267634
18:56:58.098 > 11,2.3197608,0.6330600,0.00,23.4986801,0.0000268597
18:56:58.101 > 12,2.3203511,0.6332363,0.00,23.5054569,0.0000270361
18:56:58.104 > 13,2.3209741,0.6332316,0.00,23.5128078,0.0000270314
18:56:58.106 > 14,2.3215804,0.6335095,0.00,23.5196667,0.0000273092
18:56:58.109 > 15,2.3220756,0.6337279,0.00,23.5252762,0.0000275276
18:56:58.111 > 16,2.3228066,0.6339047,0.00,23.5337124,0.0000277044
18:56:58.114 > 17,2.3234639,0.6337499,0.00,23.5416260,0.0000275496
18:56:58.117 > 18,2.3239999,0.6341363,0.00,23.5475407,0.0000279360
18:56:58.119 > 19,2.3246889,0.6342378,0.00,23.5555592,0.0000280375
18:56:58.122 > 20,2.3253624,0.6344534,0.00,23.5632763,0.0000282531
18:56:58.124 > 21,2.3259349,0.6344290,0.00,23.5700512,0.0000282288
18:56:58.127 > 22,2.3266065,0.6346741,0.00,23.5777149,0.0000284739
18:56:58.129 > 23,2.3270528,0.6348323,0.00,23.5828114,0.0000286320
18:56:58.132 > 24,2.3277881,0.6350222,0.00,23.5912819,0.0000288219
18:56:58.133 > 25,2.3284004,0.6351106,0.00,23.5984116,0.0000289103
18:56:58.136 > 26,2.3289223,0.6352223,0.00,23.6044483,0.0000290220
18:56:58.138 > 27,2.3296053,0.6354431,0.00,23.6122723,0.0000292428
18:56:58.141 > 28,2.3303022,0.6357008,0.00,23.6202202,0.0000295005
18:56:58.143 > 29,2.3309298,0.6355160,0.00,23.6278152,0.0000293158
18:56:58.146 > 30,2.3314917,0.6358879,0.00,23.6340504,0.0000296876
18:56:58.149 > 31,2.3319855,0.6362939,0.00,23.6394463,0.0000300936
18:56:58.151 > 32,2.3325913,0.6364015,0.00,23.6464767,0.0000302012
18:56:58.154 > 33,2.3333795,0.6364052,0.00,23.6557693,0.0000302050
18:56:58.156 > 34,2.3339179,0.6365311,0.00,23.6619854,0.0000303308
18:56:58.160 > 35,2.3344004,0.6368542,0.00,23.6673374,0.0000306540
18:56:58.161 > 36,2.3351119,0.6369104,0.00,23.6756687,0.0000307101
