20:39:16.170 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
20:39:16.170 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
20:39:32.062 > DEBUG (obtain_Vbd) -> Ejecutandose
20:39:32.066 > DEBUG (obtain_Vbd) -> logaritmo calculado
20:39:32.066 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.431929
20:39:32.066 > DEBUG (polarization_settling) → Channel 1
20:39:50.561 > DEBUG (obtain_Vbd) -> Ejecutandose
20:39:50.565 > DEBUG (obtain_Vbd) -> logaritmo calculado
20:39:50.565 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.431070
20:39:50.567 > DEBUG (polarization_settling) → Channel 2
20:40:22.632 > -------------------- DATOS OBTENIDOS --------------------
20:40:22.632 > ------------------ -------------------
20:40:22.633 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
20:40:22.633 > 1,2.2953870,0.6312344,0.00,23.2129002,0.0000252839
20:40:22.635 > 2,2.2970476,0.6314982,0.00,23.2322063,0.0000255477
20:40:22.637 > 3,2.2977762,0.6315941,0.00,23.2406979,0.0000256436
20:40:22.640 > 4,2.2985654,0.6316750,0.00,23.2499218,0.0000257245
20:40:22.642 > 5,2.2991815,0.6317681,0.00,23.2570877,0.0000258176
20:40:22.646 > 6,2.2997582,0.6320006,0.00,23.2636433,0.0000260500
20:40:22.648 > 7,2.3005159,0.6321517,0.00,23.2724209,0.0000262011
20:40:22.651 > 8,2.3009920,0.6322522,0.00,23.2779312,0.0000263017
20:40:22.653 > 9,2.3017707,0.6325085,0.00,23.2868443,0.0000265580
20:40:22.656 > 10,2.3023999,0.6324005,0.00,23.2943764,0.0000264499
20:40:22.658 > 11,2.3030598,0.6326900,0.00,23.3018570,0.0000267395
20:40:22.661 > 12,2.3035817,0.6326863,0.00,23.3080139,0.0000267357
20:40:22.664 > 13,2.3042521,0.6328387,0.00,23.3157616,0.0000268882
20:40:22.667 > 14,2.3048246,0.6329982,0.00,23.3223438,0.0000270477
20:40:22.669 > 15,2.3054767,0.6330838,0.00,23.3299446,0.0000271333
