19:07:38.041 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
19:07:38.041 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
19:07:53.929 > DEBUG (obtain_Vbd) -> Ejecutandose
19:07:53.933 > DEBUG (obtain_Vbd) -> logaritmo calculado
19:07:53.933 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.438444
19:07:53.933 > DEBUG (polarization_settling) → Channel 1
19:08:12.424 > DEBUG (obtain_Vbd) -> Ejecutandose
19:08:12.427 > DEBUG (obtain_Vbd) -> logaritmo calculado
19:08:12.428 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.437529
19:08:12.430 > DEBUG (polarization_settling) → Channel 2
19:08:44.609 > -------------------- DATOS OBTENIDOS --------------------
19:08:44.609 > ------------------ -------------------
19:08:44.610 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
19:08:44.610 > 1,2.3040814,0.6319926,0.00,23.3148308,0.0000258564
19:08:44.612 > 2,2.3054116,0.6321245,0.00,23.3303776,0.0000259883
19:08:44.615 > 3,2.3061156,0.6321746,0.00,23.3386288,0.0000260383
19:08:44.617 > 4,2.3068149,0.6323916,0.00,23.3466473,0.0000262554
19:08:44.620 > 5,2.3074458,0.6325221,0.00,23.3539486,0.0000263859
19:08:44.622 > 6,2.3082137,0.6326460,0.00,23.3628750,0.0000265098
19:08:44.625 > 7,2.3087447,0.6328186,0.00,23.3689556,0.0000266824
19:08:44.628 > 8,2.3093302,0.6328242,0.00,23.3758545,0.0000266880
19:08:44.631 > 9,2.3101175,0.6330567,0.00,23.3848953,0.0000269205
19:08:44.633 > 10,2.3107011,0.6332256,0.00,23.3915997,0.0000270894
19:08:44.635 > 11,2.3113186,0.6333182,0.00,23.3987846,0.0000271820
19:08:44.638 > 12,2.3119683,0.6334889,0.00,23.4062672,0.0000273527
19:08:44.640 > 13,2.3125217,0.6335306,0.00,23.4127483,0.0000273944
19:08:44.643 > 14,2.3131213,0.6337120,0.00,23.4196301,0.0000275758
19:08:44.646 > 15,2.3138556,0.6339515,0.00,23.4280396,0.0000278153
19:08:44.648 > 16,2.3144388,0.6339716,0.00,23.4348965,0.0000278354
19:08:44.651 > 17,2.3149688,0.6341465,0.00,23.4409599,0.0000280103
19:08:44.653 > 18,2.3156905,0.6342354,0.00,23.4493790,0.0000280992
19:08:44.656 > 19,2.3163216,0.6344085,0.00,23.4566383,0.0000282723
19:08:44.659 > 20,2.3168333,0.6345984,0.00,23.4624748,0.0000284622
19:08:44.662 > 21,2.3174012,0.6346952,0.00,23.4690685,0.0000285590
19:08:44.664 > 22,2.3180602,0.6348495,0.00,23.4766788,0.0000287133
19:08:44.667 > 23,2.3186009,0.6348987,0.00,23.4830036,0.0000287625
19:08:44.669 > 24,2.3192828,0.6351395,0.00,23.4907932,0.0000290033
19:08:44.672 > 25,2.3199039,0.6353557,0.00,23.4978905,0.0000292194
19:08:44.674 > 26,2.3205466,0.6354445,0.00,23.5053768,0.0000293083
19:08:44.677 > 27,2.3211024,0.6356868,0.00,23.5116749,0.0000295506
19:08:44.680 > 28,2.3216920,0.6358439,0.00,23.5184631,0.0000297077
19:08:44.682 > 29,2.3224292,0.6359216,0.00,23.5270748,0.0000297854
19:08:44.685 > 30,2.3229022,0.6361803,0.00,23.5323830,0.0000300441
19:08:44.687 > 31,2.3235195,0.6364412,0.00,23.5393867,0.0000303050
19:08:44.690 > 32,2.3242235,0.6365928,0.00,23.5475311,0.0000304566
19:08:44.693 > 33,2.3249252,0.6366938,0.00,23.5557003,0.0000305576
19:08:44.695 > 34,2.3254433,0.6368164,0.00,23.5616798,0.0000306802
19:08:44.697 > 35,2.3260050,0.6370446,0.00,23.5680656,0.0000309084
19:08:44.700 > 36,2.3266196,0.6372747,0.00,23.5750713,0.0000311385
19:08:44.702 > 37,2.3273914,0.6373005,0.00,23.5841465,0.0000311643
19:08:44.704 > 38,2.3277838,0.6376443,0.00,23.5884132,0.0000315081
19:08:44.707 > 39,2.3285823,0.6377608,0.00,23.5977077,0.0000316246
19:08:44.711 > 40,2.3291295,0.6379282,0.00,23.6039829,0.0000317920
19:08:44.713 > 41,2.3297877,0.6381480,0.00,23.6115150,0.0000320118
19:08:44.716 > 42,2.3303947,0.6382574,0.00,23.6185589,0.0000321212
19:08:44.718 > 43,2.3309710,0.6386719,0.00,23.6249199,0.0000325357
19:08:44.721 > 44,2.3315146,0.6387238,0.00,23.6312733,0.0000325876
19:08:44.723 > 45,2.3321722,0.6390489,0.00,23.6386871,0.0000329127
19:08:44.726 > 46,2.3328116,0.6390325,0.00,23.6462479,0.0000328963
19:08:44.728 > 47,2.3335028,0.6392654,0.00,23.6541519,0.0000331292
19:08:44.731 > 48,2.3341408,0.6394502,0.00,23.6614838,0.0000333140
19:08:44.734 > 49,2.3346300,0.6398548,0.00,23.6668262,0.0000337186
19:08:44.736 > 50,2.3353477,0.6399665,0.00,23.6751709,0.0000338303
19:08:44.739 > 51,2.3358500,0.6402229,0.00,23.6808262,0.0000340867
19:08:44.741 > 52,2.3364823,0.6404170,0.00,23.6880798,0.0000342808
19:08:44.745 > 53,2.3370376,0.6406387,0.00,23.6943951,0.0000345025
19:08:44.747 > 54,2.3377836,0.6409147,0.00,23.7029018,0.0000347785
19:08:44.749 > 55,2.3383524,0.6410788,0.00,23.7094383,0.0000349426
19:08:44.752 > 56,2.3388574,0.6412486,0.00,23.7152176,0.0000351124
19:08:44.754 > 57,2.3396170,0.6416107,0.00,23.7237930,0.0000354745
19:08:44.757 > 58,2.3402607,0.6416696,0.00,23.7313232,0.0000355334
19:08:44.759 > 59,2.3408043,0.6419853,0.00,23.7374020,0.0000358491
19:08:44.762 > 60,2.3414299,0.6423618,0.00,23.7443848,0.0000362256
19:08:44.764 > 61,2.3419735,0.6424876,0.00,23.7506618,0.0000363514
19:08:44.767 > 62,2.3426807,0.6427875,0.00,23.7586861,0.0000366513
19:08:44.770 > 63,2.3432939,0.6431378,0.00,23.7655506,0.0000370016
19:08:44.772 > 64,2.3438098,0.6433834,0.00,23.7713757,0.0000372472
