09:11:43.216 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
09:11:43.216 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
09:11:59.099 > DEBUG (obtain_Vbd) -> Ejecutandose
09:11:59.104 > DEBUG (obtain_Vbd) -> logaritmo calculado
09:11:59.104 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.442293
09:11:59.104 > DEBUG (polarization_settling) → Channel 1
09:12:17.889 > DEBUG (obtain_Vbd) -> Ejecutandose
09:12:17.892 > DEBUG (obtain_Vbd) -> logaritmo calculado
09:12:17.893 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.438220
09:12:17.895 > DEBUG (polarization_settling) → Channel 2
09:12:50.944 > -------------------- DATOS OBTENIDOS --------------------
09:12:50.944 > ------------------ -------------------
09:12:50.944 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
09:12:50.944 > 1,2.3042181,0.6301591,0.00,23.3184490,0.0000239462
09:12:50.948 > 2,2.3054500,0.6301469,0.00,23.3329868,0.0000239340
09:12:50.950 > 3,2.3062096,0.6303874,0.00,23.3416939,0.0000241745
09:12:50.952 > 4,2.3069196,0.6305216,0.00,23.3499260,0.0000243087
09:12:50.955 > 5,2.3076067,0.6306993,0.00,23.3578415,0.0000244864
09:12:50.957 > 6,2.3082111,0.6307293,0.00,23.3649387,0.0000245163
09:12:50.960 > 7,2.3089178,0.6308354,0.00,23.3731594,0.0000246225
09:12:50.963 > 8,2.3096209,0.6309772,0.00,23.3813019,0.0000247642
09:12:50.965 > 9,2.3101768,0.6310511,0.00,23.3877831,0.0000248381
09:12:50.968 > 10,2.3108172,0.6312728,0.00,23.3950996,0.0000250599
09:12:50.971 > 11,2.3114977,0.6313438,0.00,23.4030495,0.0000251309
09:12:50.973 > 12,2.3121040,0.6314781,0.00,23.4100590,0.0000252652
09:12:50.976 > 13,2.3126769,0.6315473,0.00,23.4167423,0.0000253344
09:12:50.979 > 14,2.3133037,0.6316620,0.00,23.4240131,0.0000254490
09:12:50.981 > 15,2.3139350,0.6318205,0.00,23.4312935,0.0000256076
09:12:50.984 > 16,2.3145213,0.6320043,0.00,23.4380150,0.0000257914
09:12:50.986 > 17,2.3150773,0.6321788,0.00,23.4443874,0.0000259659
09:12:50.989 > 18,2.3157883,0.6322049,0.00,23.4527435,0.0000259920
09:12:50.991 > 19,2.3163183,0.6323575,0.00,23.4588337,0.0000261446
09:12:50.994 > 20,2.3169389,0.6325333,0.00,23.4659691,0.0000263204
09:12:50.997 > 21,2.3174889,0.6326989,0.00,23.4722805,0.0000264860
09:12:51.000 > 22,2.3182509,0.6328776,0.00,23.4810791,0.0000266647
09:12:51.002 > 23,2.3188865,0.6329108,0.00,23.4885406,0.0000266979
09:12:51.005 > 24,2.3194549,0.6330956,0.00,23.4950485,0.0000268826
09:12:51.007 > 25,2.3200433,0.6332045,0.00,23.5018730,0.0000269916
09:12:51.009 > 26,2.3207397,0.6334814,0.00,23.5097961,0.0000272685
09:12:51.012 > 27,2.3212211,0.6334814,0.00,23.5154724,0.0000272685
09:12:51.016 > 28,2.3218343,0.6336157,0.00,23.5225620,0.0000274028
09:12:51.018 > 29,2.3224549,0.6338383,0.00,23.5296459,0.0000276254
09:12:51.021 > 30,2.3232694,0.6340053,0.00,23.5390759,0.0000277924
09:12:51.024 > 31,2.3237562,0.6340876,0.00,23.5447311,0.0000278747
09:12:51.026 > 32,2.3243670,0.6343196,0.00,23.5516911,0.0000281067
09:12:51.029 > 33,2.3250425,0.6345057,0.00,23.5594616,0.0000282928
09:12:51.031 > 34,2.3255467,0.6345399,0.00,23.5653706,0.0000283270
09:12:51.034 > 35,2.3261974,0.6348341,0.00,23.5727348,0.0000286212
09:12:51.036 > 36,2.3267665,0.6348912,0.00,23.5793877,0.0000286782
09:12:51.039 > 37,2.3275023,0.6350610,0.00,23.5878849,0.0000288481
09:12:51.041 > 38,2.3281009,0.6352738,0.00,23.5947208,0.0000290608
09:12:51.044 > 39,2.3285463,0.6354277,0.00,23.5998116,0.0000292147
09:12:51.047 > 40,2.3293228,0.6356962,0.00,23.6086864,0.0000294833
09:12:51.049 > 41,2.3298135,0.6359062,0.00,23.6142540,0.0000296932
09:12:51.052 > 42,2.3304789,0.6359885,0.00,23.6220131,0.0000297756
09:12:51.054 > 43,2.3310027,0.6361569,0.00,23.6280155,0.0000299439
09:12:51.057 > 44,2.3316338,0.6363622,0.00,23.6352425,0.0000301493
09:12:51.059 > 45,2.3322349,0.6364731,0.00,23.6422138,0.0000302601
09:12:51.062 > 46,2.3330135,0.6367747,0.00,23.6510792,0.0000305618
09:12:51.064 > 47,2.3335776,0.6368772,0.00,23.6576233,0.0000306643
09:12:51.067 > 48,2.3342214,0.6371443,0.00,23.6649342,0.0000309314
09:12:51.070 > 49,2.3347666,0.6373749,0.00,23.6711216,0.0000311620
09:12:51.072 > 50,2.3355844,0.6374913,0.00,23.6806431,0.0000312784
09:12:51.074 > 51,2.3360631,0.6378112,0.00,23.6859531,0.0000315983
09:12:51.077 > 52,2.3366053,0.6378796,0.00,23.6922741,0.0000316666
09:12:51.080 > 53,2.3372116,0.6380970,0.00,23.6991978,0.0000318841
09:12:51.083 > 54,2.3378401,0.6383393,0.00,23.7063541,0.0000321264
09:12:51.085 > 55,2.3384371,0.6384726,0.00,23.7132549,0.0000322597
09:12:51.088 > 56,2.3390913,0.6387870,0.00,23.7206402,0.0000325741
09:12:51.090 > 57,2.3397000,0.6389371,0.00,23.7276592,0.0000327242
09:12:51.093 > 58,2.3401704,0.6392631,0.00,23.7328644,0.0000330502
09:12:51.095 > 59,2.3409493,0.6393899,0.00,23.7419167,0.0000331770
09:12:51.098 > 60,2.3415115,0.6396289,0.00,23.7482948,0.0000334160
09:12:51.101 > 61,2.3422153,0.6397949,0.00,23.7564220,0.0000335820
09:12:51.103 > 62,2.3427939,0.6401064,0.00,23.7629185,0.0000338935
09:12:51.106 > 63,2.3434169,0.6403978,0.00,23.7699585,0.0000341849
09:12:51.109 > 64,2.3440151,0.6405559,0.00,23.7768478,0.0000343430
09:12:51.111 > 65,2.3446784,0.6408146,0.00,23.7843971,0.0000346017
09:12:51.114 > 66,2.3451934,0.6412538,0.00,23.7900105,0.0000350409
09:12:51.117 > 67,2.3458037,0.6413380,0.00,23.7971191,0.0000351251
09:12:51.119 > 68,2.3464615,0.6415232,0.00,23.8046818,0.0000353103
09:12:51.122 > 69,2.3470116,0.6418244,0.00,23.8108521,0.0000356115
09:12:51.125 > 70,2.3476841,0.6421233,0.00,23.8184681,0.0000359104
09:12:51.127 > 71,2.3483038,0.6423427,0.00,23.8255463,0.0000361298
09:12:51.130 > 72,2.3489578,0.6426205,0.00,23.8329678,0.0000364076
09:12:51.133 > 73,2.3494513,0.6429367,0.00,23.8384533,0.0000367238
09:12:51.135 > 74,2.3502221,0.6432604,0.00,23.8472042,0.0000370474
09:12:51.139 > 75,2.3506670,0.6433965,0.00,23.8523083,0.0000371836
09:12:51.141 > 76,2.3513091,0.6437753,0.00,23.8594818,0.0000375624
09:12:51.143 > 77,2.3520243,0.6440527,0.00,23.8676262,0.0000378398
09:12:51.146 > 78,2.3526669,0.6442356,0.00,23.8750095,0.0000380227
09:12:51.148 > 79,2.3531866,0.6446781,0.00,23.8806763,0.0000384651
09:12:51.152 > 80,2.3538728,0.6450237,0.00,23.8884048,0.0000388108
09:12:51.154 > 81,2.3545046,0.6453072,0.00,23.8955593,0.0000390943
09:12:51.156 > 82,2.3550112,0.6455424,0.00,23.9012852,0.0000393295
