09:39:53.408 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
09:39:53.408 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
09:40:09.274 > DEBUG (obtain_Vbd) -> Ejecutandose
09:40:09.279 > DEBUG (obtain_Vbd) -> logaritmo calculado
09:40:09.279 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.471339
09:40:09.280 > DEBUG (polarization_settling) → Channel 1
09:40:28.044 > DEBUG (obtain_Vbd) -> Ejecutandose
09:40:28.047 > DEBUG (obtain_Vbd) -> logaritmo calculado
09:40:28.048 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.480472
09:40:28.050 > DEBUG (polarization_settling) → Channel 2
09:41:01.881 > -------------------- DATOS OBTENIDOS --------------------
09:41:01.881 > ------------------ -------------------
09:41:01.882 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
09:41:01.882 > 1,2.3442061,0.6327625,0.00,23.7882042,0.0000256712
09:41:01.885 > 2,2.3453343,0.6328303,0.00,23.8014393,0.0000257390
09:41:01.887 > 3,2.3461435,0.6330376,0.00,23.8107643,0.0000259463
09:41:01.889 > 4,2.3466980,0.6330169,0.00,23.8173237,0.0000259256
09:41:01.892 > 5,2.3473516,0.6332756,0.00,23.8247585,0.0000261843
09:41:01.895 > 6,2.3481112,0.6333589,0.00,23.8336296,0.0000262676
09:41:01.897 > 7,2.3487468,0.6335375,0.00,23.8409367,0.0000264462
09:41:01.900 > 8,2.3492928,0.6335595,0.00,23.8473530,0.0000264682
09:41:01.903 > 9,2.3500412,0.6337658,0.00,23.8559628,0.0000266745
09:41:01.905 > 10,2.3505995,0.6338276,0.00,23.8624840,0.0000267363
09:41:01.908 > 11,2.3512268,0.6338795,0.00,23.8698254,0.0000267882
09:41:01.911 > 12,2.3517992,0.6342457,0.00,23.8761902,0.0000271544
09:41:01.913 > 13,2.3524504,0.6342508,0.00,23.8838654,0.0000271595
09:41:01.916 > 14,2.3531380,0.6345114,0.00,23.8916988,0.0000274200
09:41:01.919 > 15,2.3537965,0.6346148,0.00,23.8993568,0.0000275235
09:41:01.922 > 16,2.3543441,0.6347312,0.00,23.9056931,0.0000276399
09:41:01.924 > 17,2.3550150,0.6349244,0.00,23.9134026,0.0000278331
09:41:01.926 > 18,2.3556516,0.6349576,0.00,23.9208755,0.0000278663
09:41:01.929 > 19,2.3562324,0.6352246,0.00,23.9274426,0.0000281333
09:41:01.932 > 20,2.3566213,0.6353650,0.00,23.9318810,0.0000282737
09:41:01.934 > 21,2.3574018,0.6353828,0.00,23.9410667,0.0000282915
09:41:01.937 > 22,2.3579583,0.6357696,0.00,23.9472237,0.0000286783
09:41:01.939 > 23,2.3586287,0.6357527,0.00,23.9551468,0.0000286614
09:41:01.942 > 24,2.3592167,0.6360269,0.00,23.9617939,0.0000289356
09:41:01.945 > 25,2.3598654,0.6361007,0.00,23.9693661,0.0000290094
09:41:01.948 > 26,2.3606167,0.6363304,0.00,23.9779835,0.0000292391
09:41:01.950 > 27,2.3610699,0.6364534,0.00,23.9832001,0.0000293621
09:41:01.952 > 28,2.3617353,0.6367719,0.00,23.9907131,0.0000296806
09:41:01.955 > 29,2.3623874,0.6367154,0.00,23.9984627,0.0000296240
09:41:01.957 > 30,2.3630104,0.6369815,0.00,24.0055275,0.0000298902
09:41:01.961 > 31,2.3635595,0.6371625,0.00,24.0118141,0.0000300712
09:41:01.964 > 32,2.3642457,0.6372434,0.00,24.0198212,0.0000301521
09:41:01.967 > 33,2.3648875,0.6375834,0.00,24.0270329,0.0000304921
09:41:01.969 > 34,2.3654702,0.6376793,0.00,24.0338039,0.0000305880
09:41:01.972 > 35,2.3661635,0.6379848,0.00,24.0416584,0.0000308934
09:41:01.975 > 36,2.3667777,0.6380423,0.00,24.0488396,0.0000309510
09:41:01.978 > 37,2.3672242,0.6380989,0.00,24.0540466,0.0000310076
09:41:01.980 > 38,2.3678515,0.6384656,0.00,24.0610600,0.0000313743
09:41:01.983 > 39,2.3685770,0.6386223,0.00,24.0694504,0.0000315310
09:41:01.985 > 40,2.3691406,0.6388276,0.00,24.0758820,0.0000317363
09:41:01.988 > 41,2.3697000,0.6390198,0.00,24.0822754,0.0000319285
09:41:01.991 > 42,2.3704040,0.6391504,0.00,24.0904408,0.0000320591
09:41:01.994 > 43,2.3709905,0.6394395,0.00,24.0970554,0.0000323482
