08:44:32.774 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
08:44:32.774 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
08:44:48.651 > DEBUG (obtain_Vbd) -> Ejecutandose
08:44:48.654 > DEBUG (obtain_Vbd) -> logaritmo calculado
08:44:48.655 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.429391
08:44:48.655 > DEBUG (polarization_settling) → Channel 1
08:45:07.444 > DEBUG (obtain_Vbd) -> Ejecutandose
08:45:07.448 > DEBUG (obtain_Vbd) -> logaritmo calculado
08:45:07.448 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.436789
08:45:07.451 > DEBUG (polarization_settling) → Channel 2
08:45:40.509 > -------------------- DATOS OBTENIDOS --------------------
08:45:40.509 > ------------------ -------------------
08:45:40.509 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
08:45:40.509 > 1,2.2977266,0.6297479,0.00,23.2420979,0.0000237553
08:45:40.512 > 2,2.2992337,0.6298869,0.00,23.2597218,0.0000238943
08:45:40.514 > 3,2.2999504,0.6301432,0.00,23.2679062,0.0000241505
08:45:40.517 > 4,2.3006871,0.6302634,0.00,23.2764664,0.0000242708
08:45:40.519 > 5,2.3012955,0.6303345,0.00,23.2835674,0.0000243419
08:45:40.522 > 6,2.3020439,0.6305034,0.00,23.2922173,0.0000245107
08:45:40.524 > 7,2.3026874,0.6305160,0.00,23.2997913,0.0000245234
08:45:40.527 > 8,2.3033624,0.6306647,0.00,23.3075943,0.0000246721
08:45:40.532 > 9,2.3039327,0.6307377,0.00,23.3142433,0.0000247450
08:45:40.533 > 10,2.3045921,0.6309486,0.00,23.3218002,0.0000249560
08:45:40.535 > 11,2.3051286,0.6310553,0.00,23.3280125,0.0000250627
08:45:40.538 > 12,2.3058083,0.6312718,0.00,23.3358021,0.0000252792
08:45:40.543 > 13,2.3064420,0.6312513,0.00,23.3432961,0.0000252587
08:45:40.544 > 14,2.3070328,0.6314716,0.00,23.3500328,0.0000254790
08:45:40.547 > 15,2.3077161,0.6315665,0.00,23.3579922,0.0000255739
08:45:40.549 > 16,2.3082490,0.6318083,0.00,23.3640194,0.0000258157
08:45:40.552 > 17,2.3088508,0.6318631,0.00,23.3710594,0.0000258704
08:45:40.554 > 18,2.3095202,0.6321006,0.00,23.3787041,0.0000261080
08:45:40.557 > 19,2.3101583,0.6320114,0.00,23.3863239,0.0000260187
08:45:40.559 > 20,2.3106751,0.6322092,0.00,23.3922119,0.0000262166
08:45:40.562 > 21,2.3114154,0.6322629,0.00,23.4008846,0.0000262703
08:45:40.565 > 22,2.3120651,0.6325441,0.00,23.4082508,0.0000265515
08:45:40.567 > 23,2.3126891,0.6326779,0.00,23.4154682,0.0000266852
08:45:40.570 > 24,2.3132055,0.6328729,0.00,23.4213524,0.0000268803
08:45:40.573 > 25,2.3138731,0.6330736,0.00,23.4290161,0.0000270810
08:45:40.575 > 26,2.3145092,0.6331447,0.00,23.4364414,0.0000271521
08:45:40.578 > 27,2.3149824,0.6332911,0.00,23.4418697,0.0000272985
08:45:40.580 > 28,2.3154917,0.6334291,0.00,23.4477291,0.0000274364
08:45:40.583 > 29,2.3162584,0.6335258,0.00,23.4566708,0.0000275332
08:45:40.585 > 30,2.3169525,0.6335797,0.00,23.4647980,0.0000275871
08:45:40.589 > 31,2.3176119,0.6339276,0.00,23.4722099,0.0000279350
08:45:40.591 > 32,2.3181448,0.6340128,0.00,23.4784050,0.0000280201
08:45:40.593 > 33,2.3188004,0.6341531,0.00,23.4859905,0.0000281605
08:45:40.596 > 34,2.3194587,0.6343566,0.00,23.4935398,0.0000283639
08:45:40.598 > 35,2.3199267,0.6346489,0.00,23.4987507,0.0000286562
08:45:40.601 > 36,2.3205757,0.6346704,0.00,23.5063820,0.0000286778
08:45:40.603 > 37,2.3212216,0.6347373,0.00,23.5139275,0.0000287447
08:45:40.608 > 38,2.3218441,0.6349506,0.00,23.5210457,0.0000289580
08:45:40.609 > 39,2.3224218,0.6352293,0.00,23.5275650,0.0000292367
08:45:40.612 > 40,2.3230448,0.6353079,0.00,23.5348282,0.0000293153
08:45:40.615 > 41,2.3237844,0.6354866,0.00,23.5433617,0.0000294940
08:45:40.617 > 42,2.3243034,0.6356742,0.00,23.5492859,0.0000296816
08:45:40.619 > 43,2.3250372,0.6359426,0.00,23.5576572,0.0000299500
08:45:40.622 > 44,2.3255522,0.6360675,0.00,23.5636005,0.0000300749
08:45:40.625 > 45,2.3261313,0.6362500,0.00,23.5702381,0.0000302573
08:45:40.627 > 46,2.3267436,0.6363543,0.00,23.5773487,0.0000303617
08:45:40.630 > 47,2.3273597,0.6365956,0.00,23.5843601,0.0000306030
08:45:40.633 > 48,2.3278909,0.6367476,0.00,23.5904655,0.0000307550
08:45:40.635 > 49,2.3286557,0.6368837,0.00,23.5993423,0.0000308911
08:45:40.638 > 50,2.3291152,0.6372008,0.00,23.6044273,0.0000312082
08:45:40.640 > 51,2.3298812,0.6374796,0.00,23.6131668,0.0000314870
08:45:40.643 > 52,2.3303583,0.6375110,0.00,23.6187611,0.0000315183
08:45:40.646 > 53,2.3309340,0.6379011,0.00,23.6251411,0.0000319085
08:45:40.648 > 54,2.3315861,0.6381471,0.00,23.6325741,0.0000321544
08:45:40.651 > 55,2.3322124,0.6383029,0.00,23.6397953,0.0000323102
08:45:40.654 > 56,2.3328419,0.6383328,0.00,23.6471882,0.0000323402
08:45:40.656 > 57,2.3335633,0.6386597,0.00,23.6553516,0.0000326671
08:45:40.658 > 58,2.3339949,0.6389647,0.00,23.6601200,0.0000329721
08:45:40.661 > 59,2.3347330,0.6392033,0.00,23.6685734,0.0000332106
08:45:40.664 > 60,2.3353229,0.6392593,0.00,23.6754723,0.0000332667
08:45:40.666 > 61,2.3359506,0.6396111,0.00,23.6825047,0.0000336184
08:45:40.668 > 62,2.3365979,0.6397907,0.00,23.6899509,0.0000337981
08:45:40.671 > 63,2.3371620,0.6401485,0.00,23.6962261,0.0000341559
08:45:40.675 > 64,2.3378599,0.6403833,0.00,23.7042103,0.0000343907
08:45:40.677 > 65,2.3384142,0.6403922,0.00,23.7107372,0.0000343996
08:45:40.679 > 66,2.3391161,0.6407491,0.00,23.7186394,0.0000347565
08:45:40.681 > 67,2.3396766,0.6410615,0.00,23.7249222,0.0000350689
08:45:40.684 > 68,2.3401873,0.6413160,0.00,23.7306767,0.0000353234
08:45:40.686 > 69,2.3408258,0.6415737,0.00,23.7379379,0.0000355811
08:45:40.690 > 70,2.3414478,0.6418539,0.00,23.7449780,0.0000358613
08:45:40.692 > 71,2.3420250,0.6420466,0.00,23.7515812,0.0000360540
08:45:40.694 > 72,2.3426578,0.6423057,0.00,23.7587738,0.0000363131
08:45:40.697 > 73,2.3432505,0.6426706,0.00,23.7653790,0.0000366780
08:45:40.699 > 74,2.3439109,0.6429470,0.00,23.7728767,0.0000369543
08:45:40.702 > 75,2.3445616,0.6432257,0.00,23.7802563,0.0000372331
08:45:40.705 > 76,2.3451014,0.6435419,0.00,23.7862911,0.0000375493
08:45:40.708 > 77,2.3457365,0.6436940,0.00,23.7936192,0.0000377014
08:45:40.711 > 78,2.3463764,0.6440648,0.00,23.8007774,0.0000380722
08:45:40.713 > 79,2.3469377,0.6443633,0.00,23.8070831,0.0000383707
08:45:40.716 > 80,2.3476136,0.6447342,0.00,23.8146648,0.0000387416
08:45:40.718 > 81,2.3481646,0.6450223,0.00,23.8208599,0.0000390297
08:45:40.720 > 82,2.3487554,0.6453105,0.00,23.8275223,0.0000393178
08:45:40.724 > 83,2.3494775,0.6457010,0.00,23.8356285,0.0000397084
08:45:40.726 > 84,2.3499653,0.6460181,0.00,23.8410492,0.0000400255
08:45:40.729 > 85,2.3506827,0.6462557,0.00,23.8492603,0.0000402631
08:45:40.731 > 86,2.3512604,0.6465425,0.00,23.8557720,0.0000405499
08:45:40.733 > 87,2.3519914,0.6469798,0.00,23.8639317,0.0000409872
08:45:40.736 > 88,2.3525064,0.6473479,0.00,23.8696194,0.0000413553
08:45:40.739 > 89,2.3531730,0.6476285,0.00,23.8771858,0.0000416359
08:45:40.741 > 90,2.3537989,0.6480004,0.00,23.8841763,0.0000420078
08:45:40.744 > 91,2.3543975,0.6484382,0.00,23.8907776,0.0000424456
08:45:40.746 > 92,2.3549066,0.6487801,0.00,23.8964195,0.0000427875
08:45:40.749 > 93,2.3556137,0.6491239,0.00,23.9043980,0.0000431313
08:45:40.752 > 94,2.3562441,0.6496379,0.00,23.9112930,0.0000436453
08:45:40.754 > 95,2.3568597,0.6500416,0.00,23.9181290,0.0000440490
08:45:40.757 > 96,2.3574548,0.6503059,0.00,23.9248676,0.0000443133
08:45:40.759 > 97,2.3579805,0.6508676,0.00,23.9304771,0.0000448750
08:45:40.762 > 98,2.3585048,0.6513718,0.00,23.9361324,0.0000453792
08:45:40.764 > 99,2.3592203,0.6517161,0.00,23.9442081,0.0000457235
08:45:40.767 > 100,2.3599191,0.6521834,0.00,23.9519577,0.0000461907
08:45:40.769 > 101,2.3604412,0.6525955,0.00,23.9576836,0.0000466028
08:45:40.772 > 102,2.3610506,0.6530374,0.00,23.9644051,0.0000470448
08:45:40.775 > 103,2.3616934,0.6536174,0.00,23.9713745,0.0000476248
08:45:40.777 > 104,2.3622046,0.6539041,0.00,23.9771042,0.0000479115
08:45:40.780 > 105,2.3629093,0.6545286,0.00,23.9847584,0.0000485359
08:45:40.782 > 106,2.3635302,0.6549341,0.00,23.9916553,0.0000489415
08:45:40.785 > 107,2.3641596,0.6555085,0.00,23.9984722,0.0000495159
08:45:40.787 > 108,2.3647120,0.6558944,0.00,24.0045834,0.0000499018
08:45:40.790 > 109,2.3653417,0.6564669,0.00,24.0114079,0.0000504743
08:45:40.793 > 110,2.3660920,0.6569921,0.00,24.0197048,0.0000509995
08:45:40.795 > 111,2.3665924,0.6575881,0.00,24.0249805,0.0000515954
08:45:40.798 > 112,2.3671682,0.6580693,0.00,24.0312653,0.0000520767
08:45:40.800 > 113,2.3677757,0.6587639,0.00,24.0376987,0.0000527713
08:45:40.803 > 114,2.3683977,0.6593145,0.00,24.0444565,0.0000533218
08:45:40.806 > 115,2.3690298,0.6599576,0.00,24.0512352,0.0000539650
08:45:40.808 > 116,2.3696809,0.6606017,0.00,24.0582371,0.0000546091
08:45:40.811 > 117,2.3703084,0.6612125,0.00,24.0649948,0.0000552199
08:45:40.813 > 118,2.3708651,0.6618791,0.00,24.0708599,0.0000558864
08:45:40.816 > 119,2.3714969,0.6624240,0.00,24.0777397,0.0000564314
08:45:40.818 > 120,2.3721144,0.6631008,0.00,24.0843124,0.0000571082
08:45:40.821 > 121,2.3728356,0.6638561,0.00,24.0920238,0.0000578635
08:45:40.824 > 122,2.3734162,0.6644478,0.00,24.0982475,0.0000584552
08:45:40.826 > 123,2.3738694,0.6652636,0.00,24.1027355,0.0000592710
08:45:40.829 > 124,2.3744910,0.6660096,0.00,24.1092834,0.0000600170
08:45:40.831 > 125,2.3750746,0.6667355,0.00,24.1154041,0.0000607429
08:45:40.834 > 126,2.3757291,0.6675232,0.00,24.1222935,0.0000615306
08:45:40.836 > 127,2.3763845,0.6682894,0.00,24.1292171,0.0000622967
08:45:40.839 > 128,2.3769755,0.6691121,0.00,24.1353264,0.0000631195
08:45:40.841 > 129,2.3776107,0.6698488,0.00,24.1420422,0.0000638562
08:45:40.844 > 130,2.3783424,0.6707127,0.00,24.1497631,0.0000647201
08:45:40.846 > 131,2.3788371,0.6716145,0.00,24.1546497,0.0000656219
08:45:40.849 > 132,2.3794088,0.6724452,0.00,24.1605206,0.0000664526
08:45:40.851 > 133,2.3800206,0.6733114,0.00,24.1668262,0.0000673188
08:45:40.854 > 134,2.3806520,0.6742834,0.00,24.1732502,0.0000682908
08:45:40.858 > 135,2.3811674,0.6752652,0.00,24.1782970,0.0000692726
08:45:40.860 > 136,2.3818457,0.6761894,0.00,24.1853256,0.0000701968
08:45:40.862 > 137,2.3825800,0.6773260,0.00,24.1927929,0.0000713334
08:45:40.865 > 138,2.3830740,0.6782647,0.00,24.1976337,0.0000722721
08:45:40.867 > 139,2.3837223,0.6793826,0.00,24.2041054,0.0000733900
08:45:40.870 > 140,2.3843317,0.6804430,0.00,24.2101765,0.0000744504
08:45:40.872 > 141,2.3849843,0.6815006,0.00,24.2167625,0.0000755079
08:45:40.876 > 142,2.3853199,0.6827531,0.00,24.2194042,0.0000767605
08:45:40.878 > 143,2.3859622,0.6839005,0.00,24.2257767,0.0000779079
08:45:40.881 > 144,2.3867266,0.6851302,0.00,24.2334995,0.0000791376
08:45:40.883 > 145,2.3873644,0.6863468,0.00,24.2397423,0.0000803542
08:45:40.885 > 146,2.3880029,0.6875521,0.00,24.2460041,0.0000815595
08:45:40.888 > 147,2.3886499,0.6888262,0.00,24.2522984,0.0000828336
08:45:40.891 > 148,2.3891923,0.6900293,0.00,24.2574329,0.0000840366
08:45:40.894 > 149,2.3898249,0.6915181,0.00,24.2633266,0.0000855255
08:45:40.896 > 150,2.3902781,0.6931313,0.00,24.2669792,0.0000871387
08:45:40.899 > 151,2.3910646,0.6944344,0.00,24.2748871,0.0000884418
08:45:40.901 > 152,2.3915684,0.6956926,0.00,24.2795048,0.0000897000
08:45:40.904 > 153,2.3922589,0.6975008,0.00,24.2857494,0.0000915082
08:45:40.909 > 154,2.3926911,0.6988746,0.00,24.2894039,0.0000928820
08:45:40.910 > 155,2.3934391,0.7007535,0.00,24.2962513,0.0000947609
08:45:40.913 > 156,2.3938038,0.7022914,0.00,24.2989388,0.0000962988
08:45:40.915 > 157,2.3944838,0.7039636,0.00,24.3052025,0.0000979710
08:45:40.918 > 158,2.3952243,0.7057194,0.00,24.3120899,0.0000997268
08:45:40.920 > 159,2.3957062,0.7074618,0.00,24.3159428,0.0001014692
08:45:40.923 > 160,2.3963010,0.7095193,0.00,24.3207970,0.0001035267
08:45:40.925 > 161,2.3970461,0.7115325,0.00,24.3274708,0.0001055399
08:45:40.927 > 162,2.3976448,0.7135779,0.00,24.3323822,0.0001075852
08:45:40.930 > 163,2.3982029,0.7152116,0.00,24.3372498,0.0001092190
08:45:40.933 > 164,2.3987689,0.7173754,0.00,24.3416519,0.0001113828
08:45:40.936 > 165,2.3994181,0.7193334,0.00,24.3472519,0.0001133407
08:45:40.939 > 166,2.3999999,0.7217581,0.00,24.3515663,0.0001157655
08:45:40.941 > 167,2.4006734,0.7239513,0.00,24.3572063,0.0001179587
08:45:40.943 > 168,2.4012282,0.7264775,0.00,24.3610973,0.0001204849
08:45:40.946 > 169,2.4017534,0.7288831,0.00,24.3647633,0.0001228905
08:45:40.948 > 170,2.4024007,0.7312386,0.00,24.3699245,0.0001252460
08:45:40.951 > 171,2.4030552,0.7340240,0.00,24.3747177,0.0001280314
08:45:40.955 > 172,2.4037099,0.7363374,0.00,24.3800106,0.0001303448
08:45:40.958 > 173,2.4043682,0.7389632,0.00,24.3850155,0.0001329706
08:45:40.960 > 174,2.4048448,0.7418955,0.00,24.3875561,0.0001359029
08:45:40.962 > 175,2.4054873,0.7445406,0.00,24.3923569,0.0001385480
08:45:40.965 > 176,2.4061174,0.7475064,0.00,24.3966732,0.0001415138
08:45:40.967 > 177,2.4067025,0.7507030,0.00,24.4002171,0.0001447104
08:45:40.970 > 178,2.4074214,0.7538251,0.00,24.4054165,0.0001478325
08:45:40.972 > 179,2.4080305,0.7569510,0.00,24.4093170,0.0001509584
08:45:40.975 > 180,2.4086525,0.7597836,0.00,24.4136791,0.0001537910
08:45:40.977 > 181,2.4092195,0.7631897,0.00,24.4167881,0.0001571971
08:45:40.980 > 182,2.4097321,0.7666154,0.00,24.4192371,0.0001606228
08:45:40.982 > 183,2.4103968,0.7700233,0.00,24.4234962,0.0001640307
08:45:40.985 > 184,2.4110475,0.7735407,0.00,24.4274750,0.0001675481
08:45:40.987 > 185,2.4116769,0.7772784,0.00,24.4309750,0.0001712857
08:45:40.990 > 186,2.4122920,0.7809435,0.00,24.4343796,0.0001749509
08:45:40.993 > 187,2.4129515,0.7847818,0.00,24.4381256,0.0001787891
08:45:40.995 > 188,2.4135218,0.7883211,0.00,24.4411354,0.0001823285
08:45:40.998 > 189,2.4141443,0.7922220,0.00,24.4443798,0.0001862294
08:45:41.000 > 190,2.4146624,0.7962282,0.00,24.4462833,0.0001902356
08:45:41.003 > 191,2.4153337,0.8000879,0.00,24.4501476,0.0001940953
08:45:41.006 > 192,2.4158580,0.8040295,0.00,24.4521923,0.0001980369
08:45:41.009 > 193,2.4165549,0.8084431,0.00,24.4557781,0.0002024505
08:45:41.011 > 194,2.4171259,0.8126073,0.00,24.4581375,0.0002066147
