21:13:46.213 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
21:13:46.214 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
21:14:02.089 > DEBUG (obtain_Vbd) -> Ejecutandose
21:14:02.092 > DEBUG (obtain_Vbd) -> logaritmo calculado
21:14:02.093 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.455005
21:14:02.093 > DEBUG (polarization_settling) → Channel 1
21:14:20.557 > DEBUG (obtain_Vbd) -> Ejecutandose
21:14:20.557 > DEBUG (obtain_Vbd) -> logaritmo calculado
21:14:20.557 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.458749
21:14:20.573 > DEBUG (polarization_settling) → Channel 2
21:14:53.143 > -------------------- DATOS OBTENIDOS --------------------
21:14:53.143 > ------------------ -------------------
21:14:53.143 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
21:14:53.143 > 1,2.3230598,0.6330085,0.00,23.5380554,0.0000264112
21:14:53.143 > 2,2.3241622,0.6331306,0.00,23.5509262,0.0000265332
21:14:53.143 > 3,2.3249910,0.6332887,0.00,23.5605335,0.0000266914
21:14:53.152 > 4,2.3256972,0.6334192,0.00,23.5687275,0.0000268219
21:14:53.156 > 5,2.3263583,0.6335582,0.00,23.5763760,0.0000269608
21:14:53.159 > 6,2.3270192,0.6336377,0.00,23.5840855,0.0000270403
21:14:53.161 > 7,2.3276768,0.6338046,0.00,23.5916653,0.0000272073
21:14:53.163 > 8,2.3282535,0.6340207,0.00,23.5982399,0.0000274234
21:14:53.166 > 9,2.3289309,0.6340623,0.00,23.6061840,0.0000274650
21:14:53.169 > 10,2.3294041,0.6341915,0.00,23.6116295,0.0000275941
21:14:53.171 > 11,2.3300593,0.6343374,0.00,23.6192036,0.0000277400
21:14:53.174 > 12,2.3307230,0.6344497,0.00,23.6269112,0.0000278523
21:14:53.174 > 13,2.3314471,0.6346105,0.00,23.6352825,0.0000280132
21:14:53.179 > 14,2.3320296,0.6348921,0.00,23.6418571,0.0000282947
21:14:53.182 > 15,2.3325603,0.6349618,0.00,23.6480408,0.0000283644
21:14:53.185 > 16,2.3333845,0.6350427,0.00,23.6576767,0.0000284454
21:14:53.187 > 17,2.3339412,0.6352121,0.00,23.6640644,0.0000286147
21:14:53.187 > 18,2.3345435,0.6354291,0.00,23.6709366,0.0000288317
21:14:53.192 > 19,2.3351910,0.6354567,0.00,23.6785450,0.0000288593
21:14:53.195 > 20,2.3357611,0.6356887,0.00,23.6850243,0.0000290913
21:14:53.197 > 21,2.3363285,0.6358009,0.00,23.6915970,0.0000292035
21:14:53.200 > 22,2.3369572,0.6360002,0.00,23.6988029,0.0000294028
21:14:53.202 > 23,2.3375618,0.6361428,0.00,23.7057819,0.0000295455
21:14:53.205 > 24,2.3382456,0.6362574,0.00,23.7137260,0.0000296600
21:14:53.207 > 25,2.3388209,0.6365764,0.00,23.7201748,0.0000299790
21:14:53.207 > 26,2.3394530,0.6366746,0.00,23.7275257,0.0000300773
21:14:53.207 > 27,2.3400054,0.6368926,0.00,23.7338104,0.0000302953
21:14:53.207 > 28,2.3406231,0.6369389,0.00,23.7410488,0.0000303416
21:14:53.219 > 29,2.3413608,0.6371560,0.00,23.7495174,0.0000305586
21:14:53.227 > 30,2.3419147,0.6372645,0.00,23.7559376,0.0000306671
21:14:53.227 > 31,2.3425362,0.6375002,0.00,23.7630196,0.0000309029
21:14:53.227 > 32,2.3431931,0.6375507,0.00,23.7707119,0.0000309533
21:14:53.244 > 33,2.3436050,0.6377537,0.00,23.7753563,0.0000311564
21:14:53.244 > 34,2.3442388,0.6381204,0.00,23.7824440,0.0000315230
21:14:53.244 > 35,2.3448753,0.6381368,0.00,23.7899342,0.0000315394
21:14:53.244 > 36,2.3456163,0.6384025,0.00,23.7983952,0.0000318051
21:14:53.244 > 37,2.3461425,0.6385124,0.00,23.8044853,0.0000319150
21:14:53.244 > 38,2.3467455,0.6386906,0.00,23.8114090,0.0000320932
21:14:53.244 > 39,2.3473604,0.6389647,0.00,23.8183727,0.0000323673
21:14:53.251 > 40,2.3480201,0.6391817,0.00,23.8259220,0.0000325844
21:14:53.251 > 41,2.3486762,0.6393043,0.00,23.8335323,0.0000327069
21:14:53.252 > 42,2.3492451,0.6395527,0.00,23.8399792,0.0000329553
21:14:53.255 > 43,2.3498588,0.6396523,0.00,23.8471127,0.0000330549
21:14:53.257 > 44,2.3505323,0.6399689,0.00,23.8547230,0.0000333716
21:14:53.260 > 45,2.3511987,0.6401106,0.00,23.8624325,0.0000335132
21:14:53.262 > 46,2.3517337,0.6402706,0.00,23.8685741,0.0000336732
21:14:53.265 > 47,2.3524134,0.6406733,0.00,23.8761654,0.0000340760
21:14:53.277 > 48,2.3530304,0.6408146,0.00,23.8832932,0.0000342172
21:14:53.277 > 49,2.3535724,0.6408674,0.00,23.8896294,0.0000342700
21:14:53.277 > 50,2.3541875,0.6412066,0.00,23.8965282,0.0000346092
21:14:53.277 > 51,2.3547311,0.6414030,0.00,23.9027309,0.0000348056
21:14:53.292 > 52,2.3554265,0.6416294,0.00,23.9106960,0.0000350320
21:14:53.292 > 53,2.3560491,0.6419442,0.00,23.9177055,0.0000353468
21:14:53.292 > 54,2.3566282,0.6421158,0.00,23.9243546,0.0000355185
21:14:53.292 > 55,2.3572011,0.6424320,0.00,23.9307804,0.0000358347
21:14:53.292 > 56,2.3578448,0.6427061,0.00,23.9380836,0.0000361087
21:14:53.292 > 57,2.3584738,0.6428927,0.00,23.9453030,0.0000362954
21:14:53.292 > 58,2.3590591,0.6430793,0.00,23.9520111,0.0000364820
21:14:53.292 > 59,2.3596082,0.6433811,0.00,23.9581680,0.0000367837
21:14:53.292 > 60,2.3603580,0.6435901,0.00,23.9667912,0.0000369927
21:14:53.292 > 61,2.3610044,0.6438675,0.00,23.9741230,0.0000372701
21:14:53.304 > 62,2.3615890,0.6440312,0.00,23.9808464,0.0000374338
21:14:53.304 > 63,2.3621740,0.6443764,0.00,23.9873829,0.0000377790
