19:39:41.298 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
19:39:41.298 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
19:39:57.177 > DEBUG (obtain_Vbd) -> Ejecutandose
19:39:57.181 > DEBUG (obtain_Vbd) -> logaritmo calculado
19:39:57.181 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.458076
19:39:57.182 > DEBUG (polarization_settling) → Channel 1
19:40:15.654 > DEBUG (obtain_Vbd) -> Ejecutandose
19:40:15.654 > DEBUG (obtain_Vbd) -> logaritmo calculado
19:40:15.654 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.458384
19:40:15.654 > DEBUG (polarization_settling) → Channel 2
19:40:48.224 > -------------------- DATOS OBTENIDOS --------------------
19:40:48.224 > ------------------ -------------------
19:40:48.224 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
19:40:48.224 > 1,2.3222992,0.6327644,0.00,23.5293980,0.0000261146
19:40:48.227 > 2,2.3235695,0.6329314,0.00,23.5442028,0.0000262816
19:40:48.229 > 3,2.3243744,0.6329973,0.00,23.5536251,0.0000263476
19:40:48.232 > 4,2.3250551,0.6331447,0.00,23.5614967,0.0000264949
19:40:48.235 > 5,2.3257642,0.6333046,0.00,23.5696907,0.0000266548
19:40:48.237 > 6,2.3262806,0.6334547,0.00,23.5756245,0.0000268050
19:40:48.240 > 7,2.3270669,0.6334767,0.00,23.5848732,0.0000268270
19:40:48.242 > 8,2.3276131,0.6337097,0.00,23.5910683,0.0000270599
19:40:48.245 > 9,2.3283167,0.6337920,0.00,23.5992794,0.0000271422
19:40:48.247 > 10,2.3288667,0.6339482,0.00,23.6056023,0.0000272985
19:40:48.250 > 11,2.3295903,0.6342546,0.00,23.6138134,0.0000276048
19:40:48.253 > 12,2.3301904,0.6342826,0.00,23.6208611,0.0000276329
19:40:48.255 > 13,2.3308182,0.6343566,0.00,23.6281872,0.0000277068
19:40:48.259 > 14,2.3314874,0.6345665,0.00,23.6358585,0.0000279168
19:40:48.262 > 15,2.3321474,0.6346292,0.00,23.6435757,0.0000279795
19:40:48.264 > 16,2.3325832,0.6349015,0.00,23.6484280,0.0000282517
19:40:48.267 > 17,2.3332770,0.6350366,0.00,23.6564693,0.0000283869
19:40:48.269 > 18,2.3337958,0.6350764,0.00,23.6625462,0.0000284266
19:40:48.271 > 19,2.3344407,0.6353131,0.00,23.6699028,0.0000286633
19:40:48.275 > 20,2.3350034,0.6353261,0.00,23.6765251,0.0000286764
19:40:48.275 > 21,2.3356872,0.6354590,0.00,23.6844482,0.0000288092
19:40:48.275 > 22,2.3363621,0.6357471,0.00,23.6921062,0.0000290974
19:40:48.275 > 23,2.3369164,0.6358439,0.00,23.6985416,0.0000291942
19:40:48.284 > 24,2.3375950,0.6359632,0.00,23.7064171,0.0000293134
19:40:48.287 > 25,2.3381195,0.6362644,0.00,23.7122860,0.0000296147
19:40:48.289 > 26,2.3388808,0.6363655,0.00,23.7211571,0.0000297157
19:40:48.293 > 27,2.3392911,0.6364164,0.00,23.7259426,0.0000297667
19:40:48.295 > 28,2.3399866,0.6366854,0.00,23.7338619,0.0000300357
19:40:48.297 > 29,2.3406265,0.6368613,0.00,23.7412224,0.0000302115
19:40:48.300 > 30,2.3411765,0.6370648,0.00,23.7474957,0.0000304150
19:40:48.303 > 31,2.3418710,0.6371939,0.00,23.7555504,0.0000305441
19:40:48.304 > 32,2.3423538,0.6374684,0.00,23.7609558,0.0000308186
19:40:48.309 > 33,2.3430965,0.6375386,0.00,23.7696419,0.0000308888
19:40:48.312 > 34,2.3436382,0.6377299,0.00,23.7758274,0.0000310801
19:40:48.313 > 35,2.3443117,0.6379272,0.00,23.7835636,0.0000312775
19:40:48.317 > 36,2.3449671,0.6380685,0.00,23.7911453,0.0000314187
19:40:48.319 > 37,2.3455644,0.6382350,0.00,23.7980118,0.0000315853
19:40:48.322 > 38,2.3461187,0.6384937,0.00,23.8042774,0.0000318439
19:40:48.324 > 39,2.3467796,0.6387046,0.00,23.8118515,0.0000320548
19:40:48.326 > 40,2.3473613,0.6387252,0.00,23.8186874,0.0000320755
19:40:48.329 > 41,2.3481266,0.6390451,0.00,23.8273773,0.0000323954
19:40:48.332 > 42,2.3485804,0.6392565,0.00,23.8325062,0.0000326068
19:40:48.335 > 43,2.3492472,0.6394053,0.00,23.8402138,0.0000327556
19:40:48.337 > 44,2.3498456,0.6395035,0.00,23.8471680,0.0000328538
19:40:48.340 > 45,2.3503618,0.6398337,0.00,23.8529091,0.0000331840
19:40:48.342 > 46,2.3510752,0.6400255,0.00,23.8611202,0.0000333757
19:40:48.345 > 47,2.3517058,0.6402065,0.00,23.8683662,0.0000335568
19:40:48.347 > 48,2.3521950,0.6403459,0.00,23.8739891,0.0000336962
19:40:48.349 > 49,2.3529761,0.6406729,0.00,23.8828564,0.0000340231
19:40:48.352 > 50,2.3535903,0.6408393,0.00,23.8899269,0.0000341896
19:40:48.353 > 51,2.3541679,0.6409975,0.00,23.8965721,0.0000343477
19:40:48.359 > 52,2.3547506,0.6413558,0.00,23.9030666,0.0000347060
19:40:48.361 > 53,2.3553488,0.6414806,0.00,23.9099903,0.0000348309
19:40:48.363 > 54,2.3560207,0.6417168,0.00,23.9176636,0.0000350671
19:40:48.366 > 55,2.3566642,0.6420447,0.00,23.9249096,0.0000353950
19:40:48.369 > 56,2.3571515,0.6422042,0.00,23.9304886,0.0000355545
19:40:48.371 > 57,2.3578565,0.6424503,0.00,23.9385452,0.0000358005
19:40:48.374 > 58,2.3584945,0.6427019,0.00,23.9458046,0.0000360521
19:40:48.376 > 59,2.3590524,0.6428628,0.00,23.9522152,0.0000362130
19:40:48.379 > 60,2.3597322,0.6431561,0.00,23.9599228,0.0000365063
19:40:48.381 > 61,2.3603849,0.6434872,0.00,23.9672737,0.0000368375
