20:52:42.467 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
20:52:42.467 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
20:52:58.343 > DEBUG (obtain_Vbd) -> Ejecutandose
20:52:58.347 > DEBUG (obtain_Vbd) -> logaritmo calculado
20:52:58.347 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.457537
20:52:58.348 > DEBUG (polarization_settling) → Channel 1
20:53:16.822 > DEBUG (obtain_Vbd) -> Ejecutandose
20:53:16.826 > DEBUG (obtain_Vbd) -> logaritmo calculado
20:53:16.826 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.458044
20:53:16.829 > DEBUG (polarization_settling) → Channel 2
20:53:49.375 > -------------------- DATOS OBTENIDOS --------------------
20:53:49.375 > ------------------ -------------------
20:53:49.375 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
20:53:49.375 > 1,2.3205905,0.6328060,0.00,23.5090199,0.0000263302
20:53:49.378 > 2,2.3217497,0.6329145,0.00,23.5225754,0.0000264388
20:53:49.380 > 3,2.3225119,0.6330511,0.00,23.5314217,0.0000265753
20:53:49.383 > 4,2.3233666,0.6331068,0.00,23.5414429,0.0000266310
20:53:49.385 > 5,2.3239906,0.6333172,0.00,23.5485802,0.0000268415
20:53:49.388 > 6,2.3246617,0.6334847,0.00,23.5563202,0.0000270090
20:53:49.390 > 7,2.3252194,0.6335329,0.00,23.5628452,0.0000270571
20:53:49.393 > 8,2.3259068,0.6336835,0.00,23.5707912,0.0000272077
20:53:49.395 > 9,2.3265135,0.6338327,0.00,23.5777912,0.0000273569
20:53:49.398 > 10,2.3271496,0.6339272,0.00,23.5851936,0.0000274514
20:53:49.400 > 11,2.3278227,0.6340488,0.00,23.5930023,0.0000275730
20:53:49.403 > 12,2.3284359,0.6341578,0.00,23.6001205,0.0000276820
20:53:49.406 > 13,2.3291051,0.6344754,0.00,23.6076775,0.0000279996
20:53:49.409 > 14,2.3297396,0.6345530,0.00,23.6150780,0.0000280772
20:53:49.412 > 15,2.3303144,0.6347401,0.00,23.6216602,0.0000282643
20:53:49.414 > 16,2.3308825,0.6348561,0.00,23.6282406,0.0000283803
20:53:49.417 > 17,2.3315477,0.6349604,0.00,23.6359730,0.0000284846
20:53:49.421 > 18,2.3321071,0.6350932,0.00,23.6424313,0.0000286174
20:53:49.423 > 19,2.3327420,0.6353098,0.00,23.6496906,0.0000288340
20:53:49.426 > 20,2.3333733,0.6353135,0.00,23.6571312,0.0000288377
20:53:49.428 > 21,2.3340137,0.6355684,0.00,23.6644154,0.0000290927
20:53:49.429 > 22,2.3345482,0.6357490,0.00,23.6705303,0.0000292732
20:53:49.433 > 23,2.3351853,0.6359871,0.00,23.6777935,0.0000295113
20:53:49.433 > 24,2.3358407,0.6361583,0.00,23.6853428,0.0000296825
20:53:49.439 > 25,2.3363762,0.6362700,0.00,23.6915398,0.0000297943
20:53:49.441 > 26,2.3371119,0.6363711,0.00,23.7001114,0.0000298953
20:53:49.444 > 27,2.3375735,0.6364969,0.00,23.7054214,0.0000300211
20:53:49.447 > 28,2.3382933,0.6366746,0.00,23.7137222,0.0000301989
20:53:49.449 > 29,2.3388519,0.6368529,0.00,23.7201233,0.0000303771
20:53:49.452 > 30,2.3395731,0.6371115,0.00,23.7283573,0.0000306358
20:53:49.455 > 31,2.3401027,0.6372612,0.00,23.7344456,0.0000307854
20:53:49.456 > 32,2.3407178,0.6374319,0.00,23.7415199,0.0000309561
20:53:49.456 > 33,2.3413651,0.6374702,0.00,23.7491112,0.0000309945
20:53:49.456 > 34,2.3419886,0.6376957,0.00,23.7562275,0.0000312200
20:53:49.464 > 35,2.3425581,0.6378464,0.00,23.7627850,0.0000313706
20:53:49.467 > 36,2.3431177,0.6380059,0.00,23.7692184,0.0000315301
20:53:49.470 > 37,2.3438439,0.6382229,0.00,23.7775536,0.0000317471
20:53:49.472 > 38,2.3443604,0.6384128,0.00,23.7834454,0.0000319370
20:53:49.476 > 39,2.3451588,0.6386499,0.00,23.7926121,0.0000321741
20:53:49.478 > 40,2.3456261,0.6388365,0.00,23.7979259,0.0000323607
20:53:49.481 > 41,2.3462729,0.6390246,0.00,23.8053570,0.0000325488
20:53:49.483 > 42,2.3468468,0.6392603,0.00,23.8118763,0.0000327845
20:53:49.486 > 43,2.3474779,0.6393740,0.00,23.8191986,0.0000328982
20:53:49.489 > 44,2.3481791,0.6396663,0.00,23.8271637,0.0000331905
20:53:49.490 > 45,2.3486359,0.6397308,0.00,23.8324814,0.0000332550
20:53:49.493 > 46,2.3493199,0.6400493,0.00,23.8402138,0.0000335736
20:53:49.496 > 47,2.3500233,0.6401892,0.00,23.8483620,0.0000337135
20:53:49.498 > 48,2.3505800,0.6404245,0.00,23.8546791,0.0000339487
20:53:49.501 > 49,2.3511927,0.6406757,0.00,23.8616409,0.0000341999
20:53:49.504 > 50,2.3517699,0.6409236,0.00,23.8681870,0.0000344478
20:53:49.506 > 51,2.3524358,0.6411092,0.00,23.8758450,0.0000346335
20:53:49.509 > 52,2.3530855,0.6413038,0.00,23.8833027,0.0000348281
20:53:49.512 > 53,2.3536093,0.6416565,0.00,23.8891087,0.0000351807
20:53:49.514 > 54,2.3542151,0.6418024,0.00,23.8961010,0.0000353267
20:53:49.517 > 55,2.3548386,0.6419657,0.00,23.9032822,0.0000354899
20:53:49.520 > 56,2.3554158,0.6423460,0.00,23.9096889,0.0000358702
20:53:49.522 > 57,2.3561370,0.6426191,0.00,23.9179077,0.0000361433
20:53:49.526 > 58,2.3566763,0.6427903,0.00,23.9240875,0.0000363145
20:53:49.528 > 59,2.3573742,0.6431533,0.00,23.9319363,0.0000366775
20:53:49.531 > 60,2.3579290,0.6432150,0.00,23.9384136,0.0000367392
20:53:49.533 > 61,2.3585806,0.6435415,0.00,23.9457550,0.0000370657
20:53:49.535 > 62,2.3591604,0.6436865,0.00,23.9524403,0.0000372107
20:53:49.538 > 63,2.3598144,0.6440055,0.00,23.9598179,0.0000375297
20:53:49.541 > 64,2.3603485,0.6442524,0.00,23.9658566,0.0000377766
20:53:49.544 > 65,2.3610234,0.6446486,0.00,23.9734001,0.0000381728
20:53:49.546 > 66,2.3616230,0.6447220,0.00,23.9803944,0.0000382463
20:53:49.548 > 67,2.3623214,0.6450509,0.00,23.9882832,0.0000385751
20:53:49.550 > 68,2.3628800,0.6453984,0.00,23.9945068,0.0000389226
20:53:49.550 > 69,2.3634698,0.6457435,0.00,24.0011005,0.0000392678
20:53:49.556 > 70,2.3641348,0.6459265,0.00,24.0087490,0.0000394507
20:53:49.559 > 71,2.3646727,0.6462412,0.00,24.0147629,0.0000397655
20:53:49.562 > 72,2.3652999,0.6465864,0.00,24.0217972,0.0000401106
20:53:49.564 > 73,2.3659253,0.6468329,0.00,24.0289135,0.0000403572
20:53:49.566 > 74,2.3664997,0.6471280,0.00,24.0353775,0.0000406523
20:53:49.569 > 75,2.3671944,0.6475649,0.00,24.0431099,0.0000410892
20:53:49.572 > 76,2.3676751,0.6479344,0.00,24.0483913,0.0000414587
20:53:49.574 > 77,2.3683844,0.6481103,0.00,24.0565701,0.0000416346
20:53:49.577 > 78,2.3690386,0.6485448,0.00,24.0638294,0.0000420691
20:53:49.579 > 79,2.3696051,0.6488947,0.00,24.0701427,0.0000424190
20:53:49.581 > 80,2.3702106,0.6492357,0.00,24.0769272,0.0000427599
20:53:49.584 > 81,2.3707922,0.6494495,0.00,24.0835590,0.0000429737
20:53:49.587 > 82,2.3714097,0.6497871,0.00,24.0904865,0.0000433114
20:53:49.590 > 83,2.3720994,0.6502193,0.00,24.0981674,0.0000437436
20:53:49.592 > 84,2.3727071,0.6505107,0.00,24.1050282,0.0000440350
20:53:49.594 > 85,2.3732362,0.6510112,0.00,24.1107407,0.0000445355
20:53:49.597 > 86,2.3739750,0.6513302,0.00,24.1191196,0.0000448545
20:53:49.599 > 87,2.3744998,0.6516871,0.00,24.1249332,0.0000452113
20:53:49.602 > 88,2.3751149,0.6520398,0.00,24.1318169,0.0000455640
