16:26:42.865 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
16:26:42.865 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
16:26:58.756 > DEBUG (obtain_Vbd) -> Ejecutandose
16:26:58.759 > DEBUG (obtain_Vbd) -> logaritmo calculado
16:26:58.760 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.435050
16:26:58.761 > DEBUG (polarization_settling) → Channel 1
16:27:17.542 > DEBUG (obtain_Vbd) -> Ejecutandose
16:27:17.557 > DEBUG (obtain_Vbd) -> logaritmo calculado
16:27:17.557 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.437242
16:27:17.558 > DEBUG (polarization_settling) → Channel 2
16:27:50.619 > -------------------- DATOS OBTENIDOS --------------------
16:27:50.619 > ------------------ -------------------
16:27:50.619 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
16:27:50.619 > 1,2.2515626,0.6241463,0.00,22.7037792,0.0000179610
16:27:50.619 > 2,2.2522721,0.6242394,0.00,22.7120495,0.0000180541
16:27:50.619 > 3,2.2531538,0.6241936,0.00,22.7224941,0.0000180083
16:27:50.619 > 4,2.2537611,0.6243629,0.00,22.7294788,0.0000181776
16:27:50.632 > 5,2.2544711,0.6244017,0.00,22.7378120,0.0000182164
16:27:50.635 > 6,2.2550113,0.6244578,0.00,22.7441235,0.0000182725
16:27:50.638 > 7,2.2558448,0.6244630,0.00,22.7539463,0.0000182777
16:27:50.642 > 8,2.2564771,0.6246272,0.00,22.7612324,0.0000184419
16:27:50.644 > 9,2.2569697,0.6247231,0.00,22.7669392,0.0000185378
16:27:50.645 > 10,2.2576160,0.6247755,0.00,22.7745056,0.0000185902
16:27:50.645 > 11,2.2581506,0.6247731,0.00,22.7808113,0.0000185878
16:27:50.645 > 12,2.2587349,0.6248718,0.00,22.7875996,0.0000186865
16:27:50.655 > 13,2.2595778,0.6250767,0.00,22.7973232,0.0000188913
16:27:50.657 > 14,2.2601638,0.6249602,0.00,22.8043575,0.0000187749
16:27:50.660 > 15,2.2607584,0.6250215,0.00,22.8113060,0.0000188361
16:27:50.662 > 16,2.2614212,0.6251538,0.00,22.8189831,0.0000189685
16:27:50.665 > 17,2.2619290,0.6251146,0.00,22.8250122,0.0000189292
16:27:50.668 > 18,2.2625983,0.6252652,0.00,22.8327465,0.0000190799
16:27:50.671 > 19,2.2631526,0.6252736,0.00,22.8392754,0.0000190883
16:27:50.673 > 20,2.2638111,0.6253910,0.00,22.8469162,0.0000192057
16:27:50.676 > 21,2.2643576,0.6254911,0.00,22.8532562,0.0000193058
16:27:50.678 > 22,2.2650483,0.6254504,0.00,22.8614445,0.0000192651
16:27:50.680 > 23,2.2656999,0.6256179,0.00,22.8689518,0.0000194325
16:27:50.684 > 24,2.2662482,0.6256249,0.00,22.8754101,0.0000194396
16:27:50.686 > 25,2.2669487,0.6257161,0.00,22.8835754,0.0000195308
16:27:50.689 > 26,2.2675765,0.6258410,0.00,22.8908501,0.0000196556
16:27:50.692 > 27,2.2681363,0.6258526,0.00,22.8974380,0.0000196673
16:27:50.694 > 28,2.2687130,0.6259406,0.00,22.9041481,0.0000197552
16:27:50.697 > 29,2.2692828,0.6260622,0.00,22.9107399,0.0000198769
16:27:50.699 > 30,2.2699044,0.6261459,0.00,22.9179821,0.0000199606
16:27:50.702 > 31,2.2706542,0.6261894,0.00,22.9267788,0.0000200041
16:27:50.705 > 32,2.2711351,0.6261913,0.00,22.9324474,0.0000200060
16:27:50.707 > 33,2.2717488,0.6263821,0.00,22.9394836,0.0000201968
16:27:50.710 > 34,2.2723942,0.6263021,0.00,22.9471798,0.0000201168
16:27:50.712 > 35,2.2730093,0.6265145,0.00,22.9542103,0.0000203292
16:27:50.715 > 36,2.2736874,0.6265809,0.00,22.9621353,0.0000203956
16:27:50.718 > 37,2.2742426,0.6266361,0.00,22.9686260,0.0000204508
16:27:50.721 > 38,2.2749643,0.6267563,0.00,22.9770107,0.0000205710
16:27:50.723 > 39,2.2754297,0.6266983,0.00,22.9825611,0.0000205130
16:27:50.726 > 40,2.2761037,0.6268138,0.00,22.9903870,0.0000206285
16:27:50.728 > 41,2.2767651,0.6270065,0.00,22.9979839,0.0000208212
16:27:50.731 > 42,2.2772310,0.6270155,0.00,23.0034676,0.0000208302
16:27:50.738 > 43,2.2779312,0.6271296,0.00,23.0116062,0.0000209442
16:27:50.738 > 44,2.2785833,0.6272498,0.00,23.0191689,0.0000210645
16:27:50.740 > 45,2.2791553,0.6272442,0.00,23.0259209,0.0000210589
16:27:50.741 > 46,2.2797601,0.6273405,0.00,23.0329533,0.0000211552
16:27:50.744 > 47,2.2803218,0.6275819,0.00,23.0393238,0.0000213966
16:27:50.747 > 48,2.2810426,0.6275426,0.00,23.0478649,0.0000213572
16:27:50.749 > 49,2.2815888,0.6275468,0.00,23.0543003,0.0000213615
16:27:50.752 > 50,2.2822077,0.6277194,0.00,23.0614185,0.0000215341
16:27:50.755 > 51,2.2827649,0.6278298,0.00,23.0678749,0.0000216445
16:27:50.758 > 52,2.2835276,0.6279336,0.00,23.0767593,0.0000217483
16:27:50.760 > 53,2.2840781,0.6280403,0.00,23.0831394,0.0000218549
16:27:50.763 > 54,2.2847967,0.6279977,0.00,23.0916576,0.0000218124
16:27:50.766 > 55,2.2853847,0.6282591,0.00,23.0983162,0.0000220738
16:27:50.769 > 56,2.2857976,0.6282133,0.00,23.1032352,0.0000220280
16:27:50.771 > 57,2.2865489,0.6283775,0.00,23.1119213,0.0000221922
16:27:50.774 > 58,2.2871971,0.6284570,0.00,23.1194820,0.0000222717
16:27:50.776 > 59,2.2877274,0.6285084,0.00,23.1256809,0.0000223231
16:27:50.779 > 60,2.2884421,0.6286670,0.00,23.1339455,0.0000224817
16:27:50.787 > 61,2.2890792,0.6288148,0.00,23.1413002,0.0000226295
16:27:50.787 > 62,2.2896385,0.6288265,0.00,23.1478863,0.0000226412
16:27:50.789 > 63,2.2901680,0.6289149,0.00,23.1540375,0.0000227296
16:27:50.790 > 64,2.2908425,0.6289799,0.00,23.1619244,0.0000227946
16:27:50.793 > 65,2.2914960,0.6292077,0.00,23.1693897,0.0000230224
16:27:50.796 > 66,2.2919343,0.6292161,0.00,23.1745491,0.0000230308
16:27:50.800 > 67,2.2926276,0.6292489,0.00,23.1826897,0.0000230635
16:27:50.806 > 68,2.2932940,0.6293747,0.00,23.1904163,0.0000231894
16:27:50.806 > 69,2.2938244,0.6295459,0.00,23.1964931,0.0000233605
16:27:50.807 > 70,2.2945414,0.6297788,0.00,23.2047043,0.0000235935
16:27:50.809 > 71,2.2951303,0.6297082,0.00,23.2117233,0.0000235229
16:27:50.811 > 72,2.2957182,0.6297957,0.00,23.2185631,0.0000236104
16:27:50.814 > 73,2.2962852,0.6299042,0.00,23.2251358,0.0000237188
16:27:50.817 > 74,2.2968814,0.6300721,0.00,23.2319908,0.0000238868
16:27:50.819 > 75,2.2975972,0.6301544,0.00,23.2403450,0.0000239691
16:27:50.822 > 76,2.2982464,0.6304018,0.00,23.2477417,0.0000242165
16:27:50.824 > 77,2.2988031,0.6305305,0.00,23.2541714,0.0000243452
16:27:50.826 > 78,2.2993820,0.6303803,0.00,23.2611561,0.0000241950
16:27:50.829 > 79,2.2999690,0.6306558,0.00,23.2677898,0.0000244705
16:27:50.832 > 80,2.3007319,0.6307409,0.00,23.2766972,0.0000245556
16:27:50.834 > 81,2.3013616,0.6308963,0.00,23.2839603,0.0000247110
16:27:50.837 > 82,2.3018878,0.6310048,0.00,23.2900505,0.0000248194
16:27:50.837 > 83,2.3025506,0.6311629,0.00,23.2977009,0.0000249776
16:27:50.843 > 84,2.3031011,0.6311526,0.00,23.3042030,0.0000249673
16:27:50.846 > 85,2.3035986,0.6313977,0.00,23.3098145,0.0000252123
16:27:50.848 > 86,2.3043869,0.6314248,0.00,23.3190804,0.0000252395
16:27:50.848 > 87,2.3049316,0.6315889,0.00,23.3253326,0.0000254036
16:27:50.854 > 88,2.3055108,0.6316923,0.00,23.3320522,0.0000255070
16:27:50.857 > 89,2.3060126,0.6318186,0.00,23.3378391,0.0000256333
16:27:50.857 > 90,2.3068280,0.6319730,0.00,23.3472939,0.0000257877
16:27:50.857 > 91,2.3074033,0.6321245,0.00,23.3539181,0.0000259392
16:27:50.857 > 92,2.3080206,0.6321937,0.00,23.3611240,0.0000260084
16:27:50.857 > 93,2.3085904,0.6323107,0.00,23.3677216,0.0000261254
16:27:50.869 > 94,2.3091185,0.6324622,0.00,23.3737907,0.0000262769
16:27:50.875 > 95,2.3097785,0.6326297,0.00,23.3813972,0.0000264444
16:27:50.876 > 96,2.3103995,0.6328420,0.00,23.3884983,0.0000266567
16:27:50.877 > 97,2.3111222,0.6329487,0.00,23.3969097,0.0000267634
16:27:50.877 > 98,2.3116863,0.6331830,0.00,23.4033146,0.0000269977
16:27:50.877 > 99,2.3123267,0.6331610,0.00,23.4108906,0.0000269757
16:27:50.886 > 100,2.3128710,0.6334426,0.00,23.4170132,0.0000272573
16:27:50.888 > 101,2.3135076,0.6334075,0.00,23.4245567,0.0000272222
16:27:50.891 > 102,2.3140657,0.6335277,0.00,23.4310131,0.0000273424
16:27:50.902 > 103,2.3147962,0.6338000,0.00,23.4393406,0.0000276147
16:27:50.902 > 104,2.3153934,0.6338645,0.00,23.4463177,0.0000276792
16:27:50.902 > 105,2.3158598,0.6341269,0.00,23.4515400,0.0000279416
16:27:50.902 > 106,2.3166177,0.6342176,0.00,23.4603825,0.0000280323
16:27:50.903 > 107,2.3171630,0.6343907,0.00,23.4666328,0.0000282054
16:27:50.906 > 108,2.3178890,0.6345437,0.00,23.4750328,0.0000283583
16:27:50.908 > 109,2.3183155,0.6346868,0.00,23.4799118,0.0000285015
16:27:50.911 > 110,2.3189900,0.6349127,0.00,23.4876308,0.0000287274
16:27:50.914 > 111,2.3196197,0.6349978,0.00,23.4949665,0.0000288125
16:27:50.916 > 112,2.3202150,0.6352172,0.00,23.5017548,0.0000290319
16:27:50.920 > 113,2.3208473,0.6352906,0.00,23.5091343,0.0000291053
