17:02:50.076 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
17:02:50.077 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
17:03:05.965 > DEBUG (obtain_Vbd) -> Ejecutandose
17:03:05.969 > DEBUG (obtain_Vbd) -> logaritmo calculado
17:03:05.969 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.442137
17:03:05.970 > DEBUG (polarization_settling) → Channel 1
17:03:24.761 > DEBUG (obtain_Vbd) -> Ejecutandose
17:03:24.764 > DEBUG (obtain_Vbd) -> logaritmo calculado
17:03:24.765 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.438295
17:03:24.767 > DEBUG (polarization_settling) → Channel 2
17:03:57.845 > -------------------- DATOS OBTENIDOS --------------------
17:03:57.845 > ------------------ -------------------
17:03:57.846 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
17:03:57.846 > 1,2.2563303,0.6239756,0.00,22.7601643,0.0000178095
17:03:57.848 > 2,2.2569168,0.6241450,0.00,22.7669029,0.0000179788
17:03:57.850 > 3,2.2577357,0.6241412,0.00,22.7765636,0.0000179751
17:03:57.853 > 4,2.2582948,0.6242306,0.00,22.7830620,0.0000180644
17:03:57.856 > 5,2.2590685,0.6243119,0.00,22.7921028,0.0000181458
17:03:57.858 > 6,2.2595472,0.6244008,0.00,22.7976551,0.0000182347
17:03:57.861 > 7,2.2603183,0.6245126,0.00,22.8066292,0.0000183465
17:03:57.865 > 8,2.2608538,0.6245477,0.00,22.8129082,0.0000183815
17:03:57.867 > 9,2.2615979,0.6245519,0.00,22.8216782,0.0000183858
17:03:57.868 > 10,2.2621853,0.6245715,0.00,22.8285847,0.0000184054
17:03:57.873 > 11,2.2627962,0.6246805,0.00,22.8356743,0.0000185144
17:03:57.876 > 12,2.2634549,0.6247792,0.00,22.8433380,0.0000186131
17:03:57.878 > 13,2.2641232,0.6248835,0.00,22.8511105,0.0000187174
17:03:57.880 > 14,2.2647185,0.6249513,0.00,22.8580608,0.0000187852
17:03:57.882 > 15,2.2654016,0.6250131,0.00,22.8660507,0.0000188469
17:03:57.882 > 16,2.2659464,0.6249700,0.00,22.8725185,0.0000188039
17:03:57.890 > 17,2.2667298,0.6250393,0.00,22.8816853,0.0000188732
17:03:57.892 > 18,2.2671757,0.6252446,0.00,22.8867283,0.0000190785
17:03:57.895 > 19,2.2678530,0.6252544,0.00,22.8947067,0.0000190883
17:03:57.895 > 20,2.2684283,0.6252609,0.00,22.9014835,0.0000190948
17:03:57.895 > 21,2.2689707,0.6253344,0.00,22.9078026,0.0000191683
17:03:57.903 > 22,2.2695732,0.6254682,0.00,22.9147663,0.0000193021
17:03:57.905 > 23,2.2702057,0.6254897,0.00,22.9222031,0.0000193236
17:03:57.908 > 24,2.2708395,0.6256623,0.00,22.9294949,0.0000194961
17:03:57.911 > 25,2.2713661,0.6256843,0.00,22.9356823,0.0000195181
17:03:57.912 > 26,2.2720270,0.6257105,0.00,22.9434490,0.0000195444
17:03:57.912 > 27,2.2728105,0.6257591,0.00,22.9526367,0.0000195930
17:03:57.918 > 28,2.2732346,0.6257848,0.00,22.9576130,0.0000196187
17:03:57.918 > 29,2.2740149,0.6260065,0.00,22.9665813,0.0000198404
17:03:57.924 > 30,2.2745519,0.6259490,0.00,22.9729729,0.0000197829
17:03:57.926 > 31,2.2751777,0.6260552,0.00,22.9802437,0.0000198891
17:03:57.930 > 32,2.2756972,0.6261716,0.00,22.9862480,0.0000200055
17:03:57.932 > 33,2.2763269,0.6262184,0.00,22.9936237,0.0000200523
17:03:57.935 > 34,2.2769942,0.6263569,0.00,23.0013485,0.0000201908
17:03:57.938 > 35,2.2777212,0.6263428,0.00,23.0099354,0.0000201767
17:03:57.941 > 36,2.2782965,0.6265220,0.00,23.0165310,0.0000203559
17:03:57.943 > 37,2.2787886,0.6265187,0.00,23.0223389,0.0000203526
17:03:57.947 > 38,2.2794547,0.6266431,0.00,23.0300617,0.0000204770
17:03:57.948 > 39,2.2800927,0.6267484,0.00,23.0374756,0.0000205823
17:03:57.948 > 40,2.2807868,0.6267895,0.00,23.0456181,0.0000206234
17:03:57.948 > 41,2.2812390,0.6269214,0.00,23.0508118,0.0000207553
17:03:57.956 > 42,2.2820916,0.6269668,0.00,23.0608196,0.0000208006
17:03:57.959 > 43,2.2825291,0.6269448,0.00,23.0660019,0.0000207787
17:03:57.962 > 44,2.2831342,0.6270968,0.00,23.0729790,0.0000209307
17:03:57.965 > 45,2.2838163,0.6272638,0.00,23.0808468,0.0000210977
17:03:57.966 > 46,2.2843757,0.6273901,0.00,23.0873108,0.0000212240
17:03:57.970 > 47,2.2850044,0.6272783,0.00,23.0948429,0.0000211122
17:03:57.972 > 48,2.2855997,0.6274415,0.00,23.1016922,0.0000212754
17:03:57.975 > 49,2.2861619,0.6275730,0.00,23.1081810,0.0000214069
17:03:57.978 > 50,2.2867162,0.6276366,0.00,23.1146526,0.0000214705
17:03:57.978 > 51,2.2874305,0.6276291,0.00,23.1230850,0.0000214630
17:03:57.978 > 52,2.2879491,0.6278068,0.00,23.1290131,0.0000216407
