15:37:10.439 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
15:37:10.439 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
15:37:26.320 > DEBUG (obtain_Vbd) -> Ejecutandose
15:37:26.322 > DEBUG (obtain_Vbd) -> logaritmo calculado
15:37:26.323 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.443265
15:37:26.324 > DEBUG (polarization_settling) → Channel 1
15:37:53.998 > DEBUG (obtain_Vbd) -> Ejecutandose
15:37:54.001 > DEBUG (obtain_Vbd) -> logaritmo calculado
15:37:54.002 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.438164
15:37:54.004 > DEBUG (polarization_settling) → Channel 2
15:38:35.421 > -------------------- DATOS OBTENIDOS --------------------
15:38:35.421 > ------------------ -------------------
15:38:35.421 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
15:38:35.421 > 1,2.3052535,0.6314865,0.00,23.3291130,0.0000254191
15:38:35.424 > 2,2.3065767,0.6316952,0.00,23.3444977,0.0000256277
15:38:35.426 > 3,2.3072338,0.6317157,0.00,23.3522263,0.0000256483
15:38:35.428 > 4,2.3079929,0.6319613,0.00,23.3609180,0.0000258939
15:38:35.431 > 5,2.3087130,0.6320418,0.00,23.3693256,0.0000259743
15:38:35.433 > 6,2.3092928,0.6322644,0.00,23.3759308,0.0000261970
15:38:35.436 > 7,2.3098626,0.6323378,0.00,23.3825722,0.0000262704
15:38:35.438 > 8,2.3106081,0.6324748,0.00,23.3912201,0.0000264074
15:38:35.443 > 9,2.3112612,0.6325184,0.00,23.3988762,0.0000264509
15:38:35.444 > 10,2.3117919,0.6327129,0.00,23.4049301,0.0000266455
15:38:35.446 > 11,2.3125024,0.6329430,0.00,23.4130669,0.0000268756
15:38:35.449 > 12,2.3131189,0.6329566,0.00,23.4203224,0.0000268892
15:38:35.452 > 13,2.3137181,0.6331428,0.00,23.4271927,0.0000270753
15:38:35.454 > 14,2.3143744,0.6332635,0.00,23.4348087,0.0000271960
15:38:35.458 > 15,2.3149533,0.6333631,0.00,23.4415302,0.0000272956
15:38:35.460 > 16,2.3156004,0.6334590,0.00,23.4490585,0.0000273916
15:38:35.463 > 17,2.3162205,0.6336349,0.00,23.4561863,0.0000275674
15:38:35.465 > 18,2.3167758,0.6338289,0.00,23.4625320,0.0000277615
15:38:35.467 > 19,2.3173964,0.6338266,0.00,23.4698524,0.0000277592
15:38:35.470 > 20,2.3179853,0.6340852,0.00,23.4765263,0.0000280178
15:38:35.473 > 21,2.3186462,0.6341591,0.00,23.4842415,0.0000280917
15:38:35.475 > 22,2.3191533,0.6344328,0.00,23.4899349,0.0000283654
15:38:35.478 > 23,2.3199241,0.6346120,0.00,23.4988365,0.0000285445
15:38:35.481 > 24,2.3205404,0.6347036,0.00,23.5060101,0.0000286362
15:38:35.484 > 25,2.3211505,0.6347546,0.00,23.5131512,0.0000286872
15:38:35.486 > 26,2.3217294,0.6349632,0.00,23.5197582,0.0000288958
15:38:35.489 > 27,2.3223052,0.6351503,0.00,23.5263519,0.0000290829
15:38:35.491 > 28,2.3230004,0.6352953,0.00,23.5343971,0.0000292279
15:38:35.494 > 29,2.3235042,0.6354412,0.00,23.5401859,0.0000293738
15:38:35.497 > 30,2.3242066,0.6356288,0.00,23.5482712,0.0000295614
15:38:35.499 > 31,2.3248022,0.6358725,0.00,23.5550385,0.0000298051
15:38:35.501 > 32,2.3254209,0.6360030,0.00,23.5621967,0.0000299355
15:38:35.504 > 33,2.3260896,0.6361695,0.00,23.5699100,0.0000301021
15:38:35.509 > 34,2.3267806,0.6363220,0.00,23.5778980,0.0000302545
15:38:35.510 > 35,2.3272450,0.6365255,0.00,23.5831604,0.0000304580
15:38:35.512 > 36,2.3279200,0.6365872,0.00,23.5910568,0.0000305198
15:38:35.515 > 37,2.3284883,0.6368786,0.00,23.5974522,0.0000308112
15:38:35.517 > 38,2.3290651,0.6369960,0.00,23.6041317,0.0000309286
15:38:35.520 > 39,2.3296862,0.6371335,0.00,23.6113110,0.0000310661
15:38:35.523 > 40,2.3302269,0.6373720,0.00,23.6174374,0.0000313046
15:38:35.526 > 41,2.3309579,0.6376317,0.00,23.6257839,0.0000315642
15:38:35.528 > 42,2.3315880,0.6377350,0.00,23.6331062,0.0000316676
15:38:35.531 > 43,2.3322003,0.6380184,0.00,23.6400299,0.0000319510
15:38:35.533 > 44,2.3328509,0.6381710,0.00,23.6475430,0.0000321035
15:38:35.536 > 45,2.3333340,0.6383370,0.00,23.6530647,0.0000322695
15:38:35.538 > 46,2.3339739,0.6386523,0.00,23.6602802,0.0000325848
15:38:35.542 > 47,2.3345983,0.6387898,0.00,23.6674976,0.0000327224
15:38:35.544 > 48,2.3352451,0.6389998,0.00,23.6749077,0.0000329323
15:38:35.546 > 49,2.3358135,0.6391845,0.00,23.6814156,0.0000331171
15:38:35.549 > 50,2.3365259,0.6394170,0.00,23.6895714,0.0000333496
15:38:35.552 > 51,2.3370740,0.6396803,0.00,23.6957588,0.0000336129
15:38:35.554 > 52,2.3377414,0.6399320,0.00,23.7033634,0.0000338646
15:38:35.556 > 53,2.3382518,0.6400769,0.00,23.7092323,0.0000340095
15:38:35.559 > 54,2.3388729,0.6403225,0.00,23.7162971,0.0000342551
15:38:35.561 > 55,2.3395314,0.6403847,0.00,23.7239990,0.0000343173
15:38:35.564 > 56,2.3401868,0.6407304,0.00,23.7313652,0.0000346630
15:38:35.567 > 57,2.3407009,0.6410260,0.00,23.7371159,0.0000349586
15:38:35.569 > 58,2.3412781,0.6412253,0.00,23.7437153,0.0000351579
15:38:35.572 > 59,2.3420274,0.6414306,0.00,23.7523365,0.0000353631
15:38:35.574 > 60,2.3425055,0.6416963,0.00,23.7576942,0.0000356289
15:38:35.577 > 61,2.3431921,0.6418338,0.00,23.7656479,0.0000357664
15:38:35.580 > 62,2.3438511,0.6421822,0.00,23.7730522,0.0000361148
15:38:35.582 > 63,2.3444176,0.6424661,0.00,23.7794342,0.0000363987
15:38:35.585 > 64,2.3450794,0.6427445,0.00,23.7869473,0.0000366771
15:38:35.587 > 65,2.3456650,0.6430246,0.00,23.7935581,0.0000369572
15:38:35.590 > 66,2.3463371,0.6433272,0.00,23.8011665,0.0000372598
15:38:35.593 > 67,2.3468895,0.6435307,0.00,23.8074665,0.0000374633
15:38:35.596 > 68,2.3474054,0.6437739,0.00,23.8132954,0.0000377065
15:38:35.599 > 69,2.3481598,0.6439807,0.00,23.8219757,0.0000379133
15:38:35.602 > 70,2.3487535,0.6443717,0.00,23.8285656,0.0000383043
15:38:35.604 > 71,2.3493960,0.6445686,0.00,23.8359356,0.0000385012
15:38:35.606 > 72,2.3498871,0.6448568,0.00,23.8414249,0.0000387893
15:38:35.609 > 73,2.3505251,0.6452281,0.00,23.8485603,0.0000391607
15:38:35.612 > 74,2.3511705,0.6453535,0.00,23.8560390,0.0000392861
15:38:35.615 > 75,2.3517900,0.6458610,0.00,23.8628120,0.0000397936
15:38:35.617 > 76,2.3523808,0.6461509,0.00,23.8694725,0.0000400835
15:38:35.620 > 77,2.3530436,0.6464704,0.00,23.8769531,0.0000404030
15:38:35.622 > 78,2.3535841,0.6467758,0.00,23.8830070,0.0000407084
15:38:35.626 > 79,2.3543153,0.6469976,0.00,23.8913975,0.0000409302
15:38:35.627 > 80,2.3549466,0.6474653,0.00,23.8983517,0.0000413979
15:38:35.629 > 81,2.3554425,0.6478344,0.00,23.9038124,0.0000417669
15:38:35.632 > 82,2.3560739,0.6480958,0.00,23.9109821,0.0000420284
15:38:35.634 > 83,2.3566992,0.6484901,0.00,23.9179440,0.0000424227
15:38:35.637 > 84,2.3573270,0.6486173,0.00,23.9252129,0.0000425499
15:38:35.639 > 85,2.3579295,0.6491538,0.00,23.9317551,0.0000430864
15:38:35.642 > 86,2.3585534,0.6494896,0.00,23.9387608,0.0000434222
15:38:35.645 > 87,2.3591983,0.6497960,0.00,23.9460430,0.0000437286
15:38:35.647 > 88,2.3597746,0.6502797,0.00,23.9523315,0.0000442123
15:38:35.650 > 89,2.3604131,0.6505986,0.00,23.9595261,0.0000445312
15:38:35.652 > 90,2.3610044,0.6510383,0.00,23.9660358,0.0000449709
15:38:35.655 > 91,2.3615651,0.6514214,0.00,23.9722481,0.0000453540
15:38:35.658 > 92,2.3621647,0.6518461,0.00,23.9788742,0.0000457787
15:38:35.660 > 93,2.3628883,0.6522292,0.00,23.9870052,0.0000461618
15:38:35.663 > 94,2.3634586,0.6526623,0.00,23.9932747,0.0000465949
15:38:35.665 > 95,2.3640890,0.6531787,0.00,24.0001659,0.0000471113
15:38:35.668 > 96,2.3646998,0.6535426,0.00,24.0069885,0.0000474752
15:38:35.670 > 97,2.3653841,0.6540028,0.00,24.0145721,0.0000479354
15:38:35.673 > 98,2.3659043,0.6544986,0.00,24.0201874,0.0000484312
15:38:35.675 > 99,2.3665302,0.6548252,0.00,24.0272255,0.0000487577
15:38:35.678 > 100,2.3670855,0.6553340,0.00,24.0332413,0.0000492666
15:38:35.681 > 101,2.3678277,0.6558514,0.00,24.0414486,0.0000497839
15:38:35.684 > 102,2.3683140,0.6562849,0.00,24.0467281,0.0000502175
15:38:35.686 > 103,2.3688917,0.6568050,0.00,24.0529957,0.0000507376
15:38:35.689 > 104,2.3695364,0.6573443,0.00,24.0600319,0.0000512769
15:38:35.691 > 105,2.3702319,0.6577653,0.00,24.0677910,0.0000516979
15:38:35.694 > 106,2.3707542,0.6583584,0.00,24.0733299,0.0000522910
15:38:35.697 > 107,2.3714488,0.6588987,0.00,24.0809517,0.0000528312
15:38:35.700 > 108,2.3719506,0.6594843,0.00,24.0862560,0.0000534168
15:38:35.702 > 109,2.3726022,0.6601185,0.00,24.0932751,0.0000540510
15:38:35.705 > 110,2.3732402,0.6605974,0.00,24.1002941,0.0000545300
15:38:35.707 > 111,2.3737726,0.6612135,0.00,24.1059265,0.0000551460
15:38:35.710 > 112,2.3744297,0.6618440,0.00,24.1130123,0.0000557765
15:38:35.713 > 113,2.3750687,0.6623435,0.00,24.1200237,0.0000562761
15:38:35.715 > 114,2.3756926,0.6630353,0.00,24.1266556,0.0000569679
15:38:35.718 > 115,2.3763058,0.6635498,0.00,24.1333466,0.0000574824
15:38:35.720 > 116,2.3769205,0.6642706,0.00,24.1398373,0.0000582032
15:38:35.723 > 117,2.3775990,0.6649427,0.00,24.1471348,0.0000588753
15:38:35.726 > 118,2.3780107,0.6655657,0.00,24.1513348,0.0000594983
15:38:35.729 > 119,2.3786790,0.6663249,0.00,24.1584187,0.0000602574
15:38:35.732 > 120,2.3794842,0.6668796,0.00,24.1673317,0.0000608122
15:38:35.734 > 121,2.3799171,0.6676579,0.00,24.1716194,0.0000615905
15:38:35.736 > 122,2.3806908,0.6684306,0.00,24.1799335,0.0000623632
15:38:35.739 > 123,2.3812120,0.6691771,0.00,24.1852951,0.0000631097
15:38:35.742 > 124,2.3818152,0.6700256,0.00,24.1915169,0.0000639582
15:38:35.745 > 125,2.3823895,0.6707538,0.00,24.1975250,0.0000646864
15:38:35.747 > 126,2.3829720,0.6718109,0.00,24.2032852,0.0000657435
15:38:35.750 > 127,2.3836741,0.6725340,0.00,24.2108059,0.0000664666
15:38:35.752 > 128,2.3842680,0.6732941,0.00,24.2170124,0.0000672267
15:38:35.755 > 129,2.3848588,0.6741950,0.00,24.2230339,0.0000681276
15:38:35.757 > 130,2.3856096,0.6749948,0.00,24.2310448,0.0000689274
15:38:35.760 > 131,2.3861222,0.6758339,0.00,24.2362099,0.0000697665
15:38:35.763 > 132,2.3865404,0.6769542,0.00,24.2399654,0.0000708867
15:38:35.765 > 133,2.3872578,0.6777325,0.00,24.2476082,0.0000716650
15:38:35.768 > 134,2.3879075,0.6789958,0.00,24.2539444,0.0000729284
