16:16:04.386 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
16:16:04.386 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
16:16:06.263 > [FIXED_BIAS] Setup CH1: usando Vbd fijo = 24.9412
16:16:06.264 > DEBUG (polarization_settling) → Channel 1
16:16:47.319 > [FIXED_BIAS] Setup CH2: usando Vbd fijo = 24.9911
16:16:47.319 > DEBUG (polarization_settling) → Channel 2
16:17:28.759 > -------------------- DATOS OBTENIDOS --------------------
16:17:28.759 > ------------------ -------------------
16:17:28.759 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
16:17:28.759 > 1,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.762 > 2,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.765 > 3,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.767 > 4,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.770 > 5,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.772 > 6,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.776 > 7,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.779 > 8,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.781 > 9,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.784 > 10,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.786 > 11,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.789 > 12,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.792 > 13,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.794 > 14,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.796 > 15,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.799 > 16,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.802 > 17,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.805 > 18,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.808 > 19,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.810 > 20,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.813 > 21,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.816 > 22,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.818 > 23,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.821 > 24,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.824 > 25,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.827 > 26,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.829 > 27,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.832 > 28,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.834 > 29,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.837 > 30,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.840 > 31,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.843 > 32,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.845 > 33,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.848 > 34,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.851 > 35,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.853 > 36,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.856 > 37,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.859 > 38,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.861 > 39,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.864 > 40,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.867 > 41,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.869 > 42,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.873 > 43,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.875 > 44,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.878 > 45,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.880 > 46,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.883 > 47,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.886 > 48,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.889 > 49,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.891 > 50,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.894 > 51,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.897 > 52,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.899 > 53,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.902 > 54,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.905 > 55,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.907 > 56,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.910 > 57,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.912 > 58,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.915 > 59,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.918 > 60,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.921 > 61,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.923 > 62,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.926 > 63,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
16:17:28.929 > 64,0.0000000,0.0000000,0.00,-3.1930840,-0.0006060426
