22:19:08.587 > DEBUG (obtain_Vbd) -> Ejecutandose
22:19:08.594 > DEBUG (obtain_Vbd) -> logaritmo calculado
22:19:08.594 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.470613
22:19:08.594 > DEBUG (polarization_settling) → Channel 1
22:19:27.361 > DEBUG (obtain_Vbd) -> Ejecutandose
22:19:27.365 > DEBUG (obtain_Vbd) -> logaritmo calculado
22:19:27.366 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.470575
22:19:27.366 > DEBUG (polarization_settling) → Channel 2
22:20:01.006 > -------------------- DATOS OBTENIDOS --------------------
22:20:01.014 > ------------------ -------------------
22:20:01.014 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
22:20:01.014 > 1,2.3374324,0.6324992,0.00,23.7083588,0.0000256389
22:20:01.014 > 2,2.3385262,0.6326629,0.00,23.7210865,0.0000258026
22:20:01.014 > 3,2.3392980,0.6328163,0.00,23.7300262,0.0000259560
22:20:01.026 > 4,2.3399665,0.6328794,0.00,23.7378426,0.0000260192
22:20:01.026 > 5,2.3406522,0.6330652,0.00,23.7457333,0.0000262049
22:20:01.026 > 6,2.3413253,0.6332307,0.00,23.7534981,0.0000263704
22:20:01.026 > 7,2.3418729,0.6333472,0.00,23.7598343,0.0000264869
22:20:01.053 > 8,2.3425586,0.6335245,0.00,23.7677326,0.0000266642
22:20:01.053 > 9,2.3431561,0.6336358,0.00,23.7746620,0.0000267755
22:20:01.053 > 10,2.3438482,0.6337565,0.00,23.7826996,0.0000268962
22:20:01.053 > 11,2.3446045,0.6338598,0.00,23.7915096,0.0000269995
22:20:01.053 > 12,2.3451364,0.6340376,0.00,23.7975941,0.0000271773
22:20:01.053 > 13,2.3457637,0.6341447,0.00,23.8048801,0.0000272844
22:20:01.053 > 14,2.3464620,0.6343734,0.00,23.8128738,0.0000275131
22:20:01.053 > 15,2.3470027,0.6345020,0.00,23.8191147,0.0000276417
