13:09:11.265 > DEBUG (start_flash) -> Memoria flash iniciada correctamente.
13:09:11.265 > DEBUG (start_flash) -> Memoria flash_QSPI inicializada correctamente.
13:09:11.265 > readBuffer: address = FFF00B count = 1
13:09:11.266 > DEBUG (get_OPstate) -> Dirección: 0xFFF00B Estado leído: 0x1
13:09:27.155 > DEBUG (obtain_Vbd) -> Ejecutandose
13:09:27.155 > DEBUG (obtain_Vbd) -> logaritmo calculado
13:09:27.155 > DEBUG (obtain_Vbd) -> Vbd obtenido: 3.920734
13:09:54.552 > DEBUG (obtain_Vbd) -> Ejecutandose
13:09:54.552 > DEBUG (obtain_Vbd) -> logaritmo calculado
13:09:54.552 > DEBUG (obtain_Vbd) -> Vbd obtenido: 3.228812
13:09:54.552 > DEBUG (polarization_settling) → Channel 2
13:09:59.100 > -------------------- DATOS OBTENIDOS --------------------
13:09:59.100 > ------------------ -------------------
13:09:59.101 > i, Voltage, VCorriente, T, (V*12)-3.8-Ra*(VCorr-firstCurr1)/Rb, (VCorr-firstCurr1)/Rb
13:09:59.101 > 1,3.9207697,2.1911812,0.00,44.2262383,-0.0017324688
13:09:59.103 > 2,3.9207633,2.1909945,0.00,44.2263603,-0.0017326556
13:09:59.105 > 3,3.9207730,2.1900759,0.00,44.2274399,-0.0017335742
13:09:59.108 > 4,3.9208038,2.1895423,0.00,44.2283630,-0.0017341077
13:09:59.111 > 5,3.9206851,2.1885834,0.00,44.2279701,-0.0017350666
13:09:59.113 > 6,3.9208624,2.1883397,0.00,44.2303162,-0.0017353103
13:09:59.116 > 7,3.9207623,2.1880693,0.00,44.2294197,-0.0017355807
13:09:59.119 > 8,3.9208386,2.1872776,0.00,44.2311516,-0.0017363725
13:09:59.120 > 9,3.9207425,2.1868248,0.00,44.2304916,-0.0017368252
13:09:59.124 > 10,3.9207609,2.1862378,0.00,44.2313271,-0.0017374122
13:09:59.127 > 11,3.9208100,2.1855297,0.00,44.2326508,-0.0017381203
13:09:59.129 > 12,3.9207993,2.1852853,0.00,44.2327805,-0.0017383647
13:09:59.132 > 13,3.9207127,2.1843033,0.00,44.2327881,-0.0017393468
13:09:59.135 > 14,3.9208245,2.1837265,0.00,44.2347145,-0.0017399235
13:09:59.138 > 15,3.9208510,2.1832952,0.00,44.2354813,-0.0017403548
13:09:59.140 > 16,3.9206719,2.1828485,0.00,44.2338371,-0.0017408016
13:09:59.143 > 17,3.9207108,2.1824589,0.00,44.2347031,-0.0017411911
13:09:59.146 > 18,3.9207590,2.1816638,0.00,44.2361069,-0.0017419863
13:09:59.148 > 19,3.9207168,2.1815674,0.00,44.2357101,-0.0017420826
13:09:59.151 > 20,3.9208324,2.1807554,0.00,44.2379265,-0.0017428946
13:09:59.153 > 21,3.9207127,2.1801679,0.00,44.2371330,-0.0017434821
