////////////////////////////
SiPM1 - pruebas en casa

12:12:53.070 > DEBUG (setup) -> Serial Iniciado
12:12:53.070 > PRUEBA DE FLUJO DE PARTICULAS COMPENSANDO EL VBD...
12:12:53.072 > DEBUG (setup) -> Serial1 Iniciado
12:12:53.072 > Estado: 0x1
12:12:53.072 > DEBUG (setup) -> COUNT_MODE iniciado
12:12:53.085 > DEBUG (setupCOUNT) -> Inicialización de RTC exitosa.
12:12:53.086 > DEBUG (setupCOUNT) -> escribirPot: DEBUG (escribirPot) -> D1: 0
12:12:53.087 > DEBUG (escribirPot) -> D2: 9C
12:12:53.235 > 2
12:12:54.386 > ERROR (start_tmp100) -> Error en la transmisión I2C: 3
12:12:54.387 > DEBUG (setupCOUNT) -> Inicialización de TMP100 fallida: 0
12:12:54.397 > DEBUG (setupCOUNT) -> Inicialización de TMP100 exitosa.
12:12:54.506 > DEBUG (setupCOUNT) -> MODE0: 100100
12:12:54.557 > DEBUG (setupCOUNT) -> MODE0: 11111100
12:12:54.558 > DEBUG (setupCOUNT) -> PGA: 0
12:12:54.559 > DEBUG (setupCOUNT) -> PGA BYPASS MODE: 0
12:12:54.968 > DEBUG (loopCOUNT) -> readRef: 5.111067
12:12:54.970 > DEBUG (write_max_reg) -> 0x1
12:12:54.971 > Vbd teorico: 24.531969
12:12:54.973 > DEBUG (obtain_Curve_inverseVI) -> Limites (dec, hex): 26.83, 29.83, 61CA, 41CA, paso: 20
12:13:04.982 > First VCurrent: 1.3042824
12:13:04.985 > Tiempo promedio de muestreo [ms]: 24.9994   
12:13:04.988 > DEBUG (obtain_Vbd) -> Ejecutandose
12:13:04.995 > DEBUG (obtain_Vbd) -> logaritmo calculado   
12:13:04.997 > DEBUG (obtain_Vbd) -> Vbd obtenido: 2.420315
12:13:04.999 > DEBUG (polarization_settling) -> iniciando  
12:13:13.450 > DEBUG (polarization_settling) -> pasos: 5631
12:13:13.451 > DEBUG (polarization_settling) -> Vbias: 2.420789
12:13:13.454 > setupCount finalizado...
12:13:13.454 > DEBUG (setup) -> Setup finalizado...
12:13:13.455 > -------------------- DATOS OBTENIDOS --------------------
12:13:13.455 > i, Voltage, VCorriente, (Voltage*12)-3.8-(VCorriente-firstCurrent), (VCorriente-firstCurrent)/2000
12:13:13.456 > 1,2.3415754,1.2872632,24.81,24.3159229,-0.0000085096
12:13:13.468 > 2,2.2783625,1.2846549,24.81,23.5599787,-0.0000098138
12:13:13.482 > 3,2.2793648,1.2844489,24.81,23.5722124,-0.0000099168
12:13:13.495 > 4,2.2795913,1.2853926,24.81,23.5739847,-0.0000094449
12:13:13.508 > 5,2.2804146,1.2853384,24.81,23.5839190,-0.0000094720
12:13:13.515 > 6,2.2812018,1.2862700,24.81,23.5924345,-0.0000090062
12:13:13.522 > 7,2.2821188,1.2865947,24.81,23.6031132,-0.0000088438
12:13:13.530 > 8,2.2821431,1.2869482,24.81,23.6030516,-0.0000086671
12:13:13.537 > 9,2.2824690,1.2871243,24.81,23.6067875,-0.0000085791
12:13:13.544 > 10,2.2838728,1.2878975,24.81,23.6228600,-0.0000081925
12:13:13.551 > 11,2.2841353,1.2881100,24.81,23.6257965,-0.0000080862
12:13:13.559 > 12,2.2848709,1.2890849,24.81,23.6336469,-0.0000075988
12:13:13.567 > 13,2.2858787,1.2888534,24.81,23.6459729,-0.0000077145
12:13:13.574 > 14,2.2854886,1.2893414,24.81,23.6408042,-0.0000074705
12:13:13.582 > 15,2.2863076,1.2901683,24.81,23.6498060,-0.0000070571
12:13:13.590 > 16,2.2866828,1.2905899,24.81,23.6538857,-0.0000068462
12:13:13.596 > 17,2.2884169,1.2907470,24.81,23.6745377,-0.0000067677
12:13:13.603 > 18,2.2880616,1.2914946,24.81,23.6695272,-0.0000063939
12:13:13.611 > 19,2.2890115,1.2920802,24.81,23.6803400,-0.0000061011
12:13:13.618 > 20,2.2899761,1.2927223,24.81,23.6912735,-0.0000057800
12:13:13.625 > 21,2.2905786,1.2930611,24.81,23.6981636,-0.0000056106
12:13:13.633 > 22,2.2904916,1.2933255,24.81,23.6968559,-0.0000054784
12:13:13.640 > 23,2.2918813,1.2944089,24.81,23.7124484,-0.0000049368
12:13:13.648 > 24,2.2920489,1.2948312,24.81,23.7140384,-0.0000047256
12:13:13.655 > 25,2.2930200,1.2954696,24.81,23.7250520,-0.0000044064
12:13:13.661 > 26,2.2936146,1.2964287,24.81,23.7312302,-0.0000039269
12:13:13.669 > 27,2.2945938,1.2960570,24.81,23.7433512,-0.0000041127
12:13:13.676 > 28,2.2943733,1.2970642,24.81,23.7396966,-0.0000036091
12:13:13.684 > 29,2.2954187,1.2975016,24.87,23.7518057,-0.0000033904
12:13:13.691 > 30,2.2955339,1.2987189,24.87,23.7519693,-0.0000027817
12:13:13.698 > 31,2.2967496,1.2987531,24.87,23.7665244,-0.0000027646
12:13:13.705 > 32,2.2970595,1.2995647,24.87,23.7694321,-0.0000023589
12:13:13.712 > 33,2.2981436,1.3007479,24.87,23.7812590,-0.0000017673
12:13:13.719 > 34,2.2988005,1.3004780,24.87,23.7894101,-0.0000019022
12:13:13.728 > 35,2.2992749,1.3017526,24.87,23.7938289,-0.0000012649
12:13:13.734 > 36,2.2992213,1.3021584,24.87,23.7927804,-0.0000010620
12:13:13.741 > 37,2.3008354,1.3033696,24.87,23.8109363,-0.0000004564
12:13:13.750 > 38,2.3003466,1.3036340,24.87,23.8048087,-0.0000003242
12:13:13.758 > 39,2.3022819,1.3042227,24.87,23.8274420,-0.0000000299
12:13:13.765 > 40,2.3019485,1.3052419,24.87,23.8224231,0.0000004798
12:13:13.772 > 41,2.3035960,1.3056052,24.87,23.8418295,0.0000006614
12:13:13.779 > 42,2.3036642,1.3065374,24.87,23.8417155,0.0000011275
12:13:13.786 > 43,2.3039391,1.3073514,24.87,23.8442013,0.0000015345
12:13:13.795 > 44,2.3045673,1.3074732,24.87,23.8516173,0.0000015954
12:13:13.805 > 45,2.3054397,1.3085889,24.87,23.8609691,0.0000021532
12:13:13.808 > 46,2.3060119,1.3093925,24.87,23.8670320,0.0000025550
12:13:13.815 > 47,2.3067589,1.3098257,24.87,23.8755633,0.0000027716
12:13:13.821 > 48,2.3068423,1.3106092,24.87,23.8757811,0.0000031634
12:13:13.829 > 49,2.3078842,1.3116876,24.87,23.8872054,0.0000037026
12:13:13.835 > 50,2.3079312,1.3125389,24.87,23.8869187,0.0000041282
12:13:13.843 > 51,2.3091114,1.3132688,24.87,23.9003490,0.0000044932
12:13:13.850 > 52,2.3093855,1.3138787,24.87,23.9030312,0.0000047981
12:13:13.857 > 53,2.3104055,1.3149194,24.87,23.9142280,0.0000053185
12:13:13.864 > 54,2.3104756,1.3157004,24.87,23.9142900,0.0000057090
12:13:13.872 > 55,2.3115230,1.3168330,24.87,23.9257249,0.0000062753
12:13:13.878 > 56,2.3114011,1.3172901,24.87,23.9238050,0.0000065038
12:13:13.886 > 57,2.3127706,1.3186555,24.87,23.9388732,0.0000071865
12:13:13.892 > 58,2.3131063,1.3194377,24.87,23.9421193,0.0000075777
12:13:13.900 > 59,2.3140783,1.3201555,24.87,23.9530669,0.0000079365
12:13:13.907 > 60,2.3143091,1.3212814,24.94,23.9547104,0.0000084995
12:13:13.915 > 61,2.3150311,1.3226451,24.94,23.9620100,0.0000091813
12:13:13.922 > 62,2.3160682,1.3230983,24.94,23.9740022,0.0000094079
12:13:13.928 > 63,2.3164020,1.3236327,24.94,23.9774732,0.0000096751
12:13:13.936 > 64,2.3165774,1.3244394,24.94,23.9787722,0.0000100785
